"","c..Ifitm1....Fcgbp....Kng2....Krt6a....Anxa8....Sprr2f....Fxyd5..."
"4529","Gm11789"
"4530","9130409J20Rik"
"4531","Rtl1"
"4532","AW822252"
"4533","Gm13291"
"4534","C030005K06Rik"
"4535","Gm7799"
"4536","Gm13383"
"4537","Gm11373"
"4538","Gm24346"
"4539","Gm15947"
"4540","Fbxw10"
"4541","4930503B20Rik"
"4542","Gm17171"
"4543","Gm17046"
"4544","Zscan4b"
"4545","Fmo6"
"4546","Gm8221"
"4547","Gm38400"
"4548","Mrgpra2b"
"4549","Gm7765"
"4550","Platr11"
"4551","Gm26964"
"4552","Rpl15-ps2"
"4553","Gm28802"
"4554","Gm20203"
"4555","Ighv1-21-1"
"4556","Gm10129"
"4557","Gm37881"
"4558","Gm10522"
"4559","Gm37516"
"4560","Gm44394"
"4561","Gm44350"
"4562","Gm44367"
"4563","A530030E21Rik"
"4564","Gm19658"
"4565","Gm44486"
"4566","Gm43345"
"4567","Gm35986"
"4568","Gm44359"
"4569","Gm43391"
"4570","Gm44484"
"4571","Gm44466"
"4572","Gm44314"
"4573","Gm42747"
"4574","Gm30146"
"4575","Gm45022"
"4576","Nxpe1-ps"
"4577","RP24-185N3.3"
"4578","RP23-78K13.4"
"4579","RP24-560O24.2"
"4580","F930015N05Rik"
"4581","Gm26710"
"4582","Gm6225"
"4583","A430027H14Rik"
"4584","Gm43137"
"4585","RP23-248P8.1"
"4586","Gm14131"
"4587","Gm13432"
"4588","D630036H23Rik"
"4589","Frmd8os"
"4590","BC051628"
"4591","Gm5763"
"4592","Gm17494"
"4593","C920009B18Rik"
"4594","Gm28006"
"4595","Gm12892"
"4596","Gm9752"
"4597","Gm14410"
"4598","C030027H14Rik"
"4599","Gm43940"
"4600","Gm5869"
"4601","Gm11226"
"4602","1700008A23Rik"
"4603","Siglech"
"4604","A930007I19Rik"
"4605","Gm5587"
"4606","C230035I16Rik"
"4607","Gm45138"
"4608","Gm17799"
"4609","Gm4035"
"4610","Gm16025"
"4611","Aldoa"
"4612","Gm8378"
"4613","Gm45226"
"4614","Gm44260"
"4615","9530027J09Rik"
"4616","Gm29233"
"4617","RP23-123M3.2"
"4618","Gm27861"
"4619","Gm5637"
"4620","Ighv1-66"
"4621","1700120C14Rik"
"4622","Gm16340"
"4623","Gm38004"
"4624","7330423F06Rik"
"4625","Gm42628"
"4626","Rps12-ps3"
"4627","4930481B07Rik"
"4628","H2-T22"
"4629","Dirc2"
"4630","Gm26735"
"4631","Gm20559"
"4632","Gm12844"
"4633","A930012L18Rik"
"4634","Gm7367"
"4635","Gm8492"
"4636","Gm27538"
"4637","Hist1h2bj"
"4638","Gm3436"
"4639","Gm13689"
"4640","Gm17300"
"4641","Pten"
"4642","RP23-389K5.5"
"4643","Eef1a1"
"4644","C030010L15Rik"
"4645","Gm16148"
"4646","Gm15912"
"4647","AI504432"
"4648","C130071C03Rik"
"4649","Gm4301"
"4650","Gm4308"
"4651","Gm4312"
"4652","Ly6c2"
"4653","Gm28535"
"4654","Rnu3b1"
"4655","Rnu3b2"
"4656","Rnu3b3"
"4657","Rnu3b4"
"4658","Fuk"
"4659","Sult5a1"
"4660","Gm12350"
"4661","Gm4609"
"4662","Gm11525"
"4663","Gm5507"
"4664","Gm13669"
"4665","Gm6288"
"4666","1700112D23Rik"
"4667","Gm6543"
"4668","Gm8546"
"4669","AA914427"
"4670","Ccbl1"
"4671","Zrsr2"
"4672","Mir99ahg"
"4673","Gm43379"
"4674","T2"
"4675","Gm4984"
"4676","Gm13524"
"4677","Lrp8os3"
"4678","Gm10827"
"4679","1700026J14Rik"
"4680","Gm42464"
"4681","Gm42653"
"4682","Dmrta2os"
"4683","D130020L05Rik"
"4684","Gm24224"
"4685","4921504A21Rik"
"4686","Gm44957"
"4687","Gm6485"
"4688","Rps2-ps6"
"4689","Gm2467"
"4690","Gm14539"
"4691","Gm36956"
"4692","Dscr3"
"4693","Gbp2b"
"4694","Gm11630"
"4695","Gm13340"
"4696","Gm29458"
"4697","Gm8098"
"4698","Gm21994"
"4699","Gm12279"
"4700","Gm13529"
"4701","Tmem41a"
"4702","Hist1h1d"
"4703","3110070M22Rik"
"4704","Gm12312"
"4705","Gm21989"
"4706","Gm28417"
"4707","Gm5963"
"4708","1810062G17Rik"
"4709","2610002M06Rik"
"4710","Gm11695"
"4711","Gm12005"
"4712","5830454E08Rik"
"4713","Hbb-bt"
"4714","Igkv13-84"
"4715","RP23-344G11.5"
"4716","Gm44330"
"4717","C330013J21Rik"
"4718","Gm16418"
"4719","Gm26668"
"4720","Gm13844"
"4721","Gm17530"
"4722","Usp32"
"4723","Gm15775"
"4724","Ugt1a2"
"4725","Plk-ps1"
"4726","Gm6223"
"4727","Gm3534"
"4728","H2-M3"
"4729","Tmem196"
"4730","Gm5105"
"4731","6430503K07Rik"
"4732","Rimbp3"
"4733","Gm7276"
"4734","4933413G19Rik"
"4735","Gm6654"
"4736","Gm12406"
"4737","Gm11632"
"4738","Gm15985"
"4739","Kcnmb4os2"
"4740","Gm11650"
"4741","Gm13373"
"4742","Gm16075"
"4743","5330434G04Rik"
"4744","Gm15841"
"4745","Gm3468"
"4746","Gm3488"
"4747","Gm3510"
"4748","Gm26783"
"4749","Gm26702"
"4750","Gm29543"
"4751","Gm2367"
"4752","Gm37153"
"4753","Gm42492"
"4754","Gm37181"
"4755","Gm37446"
"4756","Gm42853"
"4757","RP24-156M16.2"
"4758","RP24-501J23.3"
"4759","RP23-63O14.2"
"4760","1500011B03Rik"
"4761","Scarna2"
"4762","Gm17344"
"4763","Gm43272"
"4764","Gm7541"
"4765","Gm42674"
"4766","Gm28707"
"4767","Rps13-ps2"
"4768","Selm"
"4769","Lrrc29"
"4770","Gm19412"
"4771","Gm45220"
"4772","Gm5530"
"4773","Gm6421"
"4774","Zfp389"
"4775","Gm13807"
"4776","Gm20522"
"4777","Gm8210"
"4778","Alkbh3os1"
"4779","Krt88"
"4780","Gm44791"
"4781","Frs3os"
"4782","Gm6382"
"4783","Zfp133-ps"
"4784","E430018J23Rik"
"4785","Gm13882"
"4786","4833417C18Rik"
"4787","Mx1"
"4788","Igkv4-53"
"4789","Gm20707"
"4790","3110009E18Rik"
"4791","1300002E11Rik"
"4792","Gm7336"
"4793","Rps12-ps9"
"4794","Gm28424"
"4795","Gm43085"
"4796","Ftsj2"
"4797","Slc6a20a"
"4798","Ighv1-85"
"4799","Gm42858"
"4800","Bpifb5"
"4801","Zfp125"
"4802","Gm9917"
"4803","Gm16153"
"4804","RP23-279O5.2"
"4805","Gm14405"
"4806","Epb41l4aos"
"4807","Igkv17-127"
"4808","Gm5977"
"4809","Sult1a1"
"4810","Gm17415"
"4811","Gm8923"
"4812","Rpl22-ps1"
"4813","Gm18588"
"4814","Mcpt8"
"4815","Ighv1-59"
"4816","E130012A19Rik"
"4817","Gm5863"
"4818","Gm15549"
"4819","Gm16023"
"4820","4833413E03Rik"
"4821","Nat8"
"4822","Gm13030"
"4823","Gm7420"
"4824","Gm4654"
"4825","Gm15501"
"4826","Gm26931"
"4827","Mfsd4b1"
"4828","Gm17092"
"4829","Erdr1"
"4830","Gm14845"
"4831","RP24-194N4.6"
"4832","1110020A21Rik"
"4833","Gm26672"
"4834","1810013D15Rik"
"4835","Gm15954"
"4836","Dnal4"
"4837","Papd4"
"4838","Gm38391"
"4839","Gm21857"
"4840","Gm10801"
"4841","Gm14419"
"4842","Gm38394"
"4843","Gm20568"
"4844","Gm44226"
"4845","Gm4353"
"4846","Lhx1os"
"4847","4930405N21Rik"
"4848","5530601H04Rik"
"4849","Rpl9-ps7"
"4850","1700041G16Rik"
"4851","Gm22270"
"4852","Gm10657"
"4853","Zfp273"
"4854","Gm7281"
"4855","Apc-ps1"
"4856","Gm29331"
"4857","Dopey2"
"4858","9530052E02Rik"
"4859","Gm10051"
"4860","2810029C07Rik"
"4861","Gm43303"
"4862","Gm11687"
"4863","Rps27a-ps1"
"4864","Gm20518"
"4865","Gm37780"
"4866","Gm15591"
"4867","Gm44116"
"4868","Klk1b1"
"4869","Gm44313"
"4870","Rpl31-ps6"
"4871","Gm9754"
"4872","Gm10689"
"4873","Gm42670"
"4874","Gm12791"
"4875","Gm5518"
"4876","Apol8"
"4877","Ppp1r2-ps3"
"4878","Gapdh-ps14"
"4879","Degs1"
"4880","Gm11539"
"4881","Bambi-ps1"
"4882","Gm9001"
"4883","RP23-121M22.6"
"4884","RP23-349N15.2"
"4885","March4"
"4886","A530032D15Rik"
"4887","Gm36995"
"4888","Hist1h4b"
"4889","Gm9645"
"4890","Gm14429"
"4891","Gm13653"
"4892","Gm6563"
"4893","Gm16244"
"4894","4933406I18Rik"
"4895","Gm14023"
"4896","Gm8778"
"4897","Gm43682"
"4898","Gm15835"
"4899","Grrp1"
"4900","6530437J22Rik"
"4901","Gm43162"
"4902","Zfp937"
"4903","Gm14057"
"4904","4933405D12Rik"
"4905","Cd300ld2"
"4906","Gm10163"
"4907","Gm44423"
"4908","Lace1"
"4909","6530402F18Rik"
"4910","Gm43031"
"4911","Prorsd1"
"4912","Gm5711"
"4913","Gm11578"
"4914","Pddc1"
"4915","Gm9480"
"4916","D530018E20Rik"
"4917","Mesdc2"
"4918","Gm20681"
"4919","Ak6"
"4920","Sec1"
"4921","Gm8995"
"4922","RP23-187B11.6"
"4923","Gm9442"
"4924","Rnf181"
"4925","Mnd1-ps"
"4926","Apol7d"
"4927","A230065H16Rik"
"4928","Gm16235"
"4929","5730596B20Rik"
"4930","Gm15787"
"4931","Gm14127"
"4932","Gm14863"
"4933","Gm4673"
"4934","1700047K16Rik"
"4935","Gm22988"
"4936","Ppp1r7"
"4937","Gm2423"
"4938","Gm6395"
"4939","4933406P04Rik"
"4940","Gm26590"
"4941","Alyref2"
"4942","Gm44275"
"4943","Rap1gapos"
"4944","3000002C10Rik"
"4945","Gm12976"
"4946","Gm26645"
"4947","Gm14321"
"4948","Dtnbos"
"4949","Sqrdl"
"4950","9130230L23Rik"
"4951","Gm14111"
"4952","Hist1h2bb"
"4953","Styx"
"4954","AA543186"
"4955","Gm16253"
"4956","Gm38188"
"4957","Gm15270"
"4958","Dnmt3b"
"4959","Zbtb11os1"
"4960","RP23-384C18.12"
"4961","2700012I20Rik"
"4962","Gm28048"
"4963","1700012L04Rik"
"4964","Gm13152"
"4965","Fam160b1"
"4966","1700084C06Rik"
"4967","Gm26770"
"4968","Gm11769"
"4969","Rnu3a"
"4970","Eif1a"
"4971","H2-Ea-ps"
"4972","Gm37768"
"4973","Gm29155"
"4974","Gm16011"
"4975","Gm12758"
"4976","Ighv5-6"
"4977","RP23-430L2.2"
"4978","Gm28119"
"4979","Gm10941"
"4980","9530056K15Rik"
"4981","Gm8566"
"4982","Gm7582"
"4983","Timm10b"
"4984","Igkv2-137"
"4985","Gm3695"
"4986","1500009C09Rik"
"4987","Gm7204"
"4988","Rybp-ps"
"4989","Zfp568"
"4990","Gm20425"
"4991","Gm5239"
"4992","Gapdh"
"4993","Chil5"
"4994","Parvaos"
"4995","Rplp0"
"4996","4833411C07Rik"
"4997","Itpa-ps1"
"4998","Vwa9"
"4999","AV099323"
"5000","Gm22849"
"5001","Gm13594"
"5002","Gm14029"
"5003","Gm15327"
"5004","Gm12246"
"5005","Gm9144"
"5006","Gm12903"
"5007","Hist1h3b"
"5008","Gm1848"
"5009","9130221H12Rik"
"5010","Gm45001"
"5011","Gm27006"
"5012","Gm38366"
"5013","Gm26901"
"5014","Zfp457"
"5015","Gm12259"
"5016","Zmiz1os1"
"5017","Gm17981"
"5018","Gm10849"
"5019","E330037G11Rik"
"5020","RP23-261B5.1"
"5021","Zfp862-ps"
"5022","Gm15900"
"5023","Gm17022"
"5024","Gm7803"
"5025","Gm26778"
"5026","Tesc"
"5027","Cdk3-ps"
"5028","Gm21860"
"5029","Gm21748"
"5030","Gm12696"
"5031","Gm2076"
"5032","Gm10461"
"5033","Lgals1-ps2"
"5034","Gm26513"
"5035","Gm17833"
"5036","Irx3os"
"5037","Gm16701"
"5038","1700015E13Rik"
"5039","Gm15510"
"5040","Bcas1os1"
"5041","D830030K20Rik"
"5042","Gm35025"
"5043","9430025C20Rik"
"5044","1700019G24Rik"
"5045","Gm20537"
"5046","Gm20662"
"5047","4931422A03Rik"
"5048","2810047C21Rik1"
"5049","Gm17477"
"5050","Gm9812"
"5051","Gm15674"
"5052","Gm6451"
"5053","Gm10767"
"5054","Nhp2l1"
"5055","Hist2h2ac"
"5056","Gm12540"
"5057","Gm28959"
"5058","Apol10b"
"5059","AC133103.2"
"5060","Hbb-bs"
"5061","Gm10658"
"5062","2900097C17Rik"
"5063","BC030870"
"5064","Gm45042"
"5065","9230116N13Rik"
"5066","RP23-116E3.2"
"5067","Pcdhb9"
"5068","Gm3550"
"5069","Igkv4-90"
"5070","Gm20458"
"5071","Gm20726"
"5072","Gm6501"
"5073","4732440D04Rik"
"5074","1810049J17Rik"
"5075","Gm37622"
"5076","Gm20604"
"5077","Gm25360"
"5078","Gm4835"
"5079","Gm25939"
"5080","Tmem5"
"5081","H2-M9"
"5082","Cela3b"
"5083","Gm37313"
"5084","Myl6"
"5085","Gm26747"
"5086","Gm43667"
"5087","Gm28188"
"5088","Gm29156"
"5089","Wfdc6a"
"5090","H2-Eb1"
"5091","Bach2os"
"5092","Mettl13"
"5093","Gm16171"
"5094","Gm29170"
"5095","Gm20324"
"5096","2810402E24Rik"
"5097","Gm4294"
"5098","Gm10561"
"5099","Gm14326"
"5100","Pot1b"
"5101","Gm9825"
"5102","Mthfs"
"5103","Cd300a"
"5104","Gm16199"
"5105","9930111J21Rik2"
"5106","Ighv1-7"
"5107","Gm26532"
"5108","Raet1d"
"5109","AI506816"
"5110","Rps18"
"5111","Gm19569"
"5112","4731419I09Rik"
"5113","Fam103a1"
"5114","Gm9755"
"5115","4833427F10Rik"
"5116","Gm21992"
"5117","Brip1os"
"5118","Cyp4f15"
"5119","Gm13822"
"5120","Gm11520"
"5121","Asah2"
"5122","Gm9923"
"5123","BC030343"
"5124","Gm27010"
"5125","Trbv5"
"5126","Gm7993"
"5127","Gm15696"
"5128","Bmp8b"
"5129","Gm15122"
"5130","Oaz2-ps"
"5131","Snora70"
"5132","Gm10399"
"5133","Rpl36a"
"5134","Ggt1"
"5135","Trim34b"
"5136","4930404I05Rik"
"5137","Spry3"
"5138","Gm13493"
"5139","Akr1b10"
"5140","Gm20445"
"5141","Gm12989"
"5142","Gm44760"
"5143","Gm4482"
"5144","Gm5601"
"5145","Gm12657"
"5146","Gm14027"
"5147","Gm3839"
"5148","Gm3555"
"5149","Rab10os"
"5150","Gm13713"
"5151","Igkv4-55"
"5152","Gm6457"
"5153","Ccpg1os"
"5154","Gm37292"
"5155","Gm4723"
"5156","Gm17096"
"5157","1700109K24Rik"
"5158","Gm4332"
"5159","Gm7153"
"5160","Gm37416"
"5161","Gm17017"
"5162","Rps3"
"5163","Gm43604"
"5164","Gm12031"
"5165","Gm43062"
"5166","Sept1"
"5167","Gm10075"
"5168","Gm26533"
"5169","Fam196a"
"5170","Zxda"
"5171","A530083I20Rik"
"5172","4833445I07Rik"
"5173","Rps15-ps2"
"5174","Gm44170"
"5175","Gm4134"
"5176","Erich2os"
"5177","Il11ra2"
"5178","Mzt2"
"5179","Cxcl11"
"5180","1700021J08Rik"
"5181","Akap2"
"5182","Gm22596"
"5183","Gm9050"
"5184","Gm4577"
"5185","Gm12276"
"5186","Ighv1-58"
"5187","Gm5345"
"5188","Gm13551"
"5189","Rpl35a-ps7"
"5190","Gm14267"
"5191","Gm1866"
"5192","Gm34294"
"5193","Hba-a2"
"5194","Rpl34-ps1"
"5195","Gm9795"
"5196","Gm26530"
"5197","Gm21967"
"5198","4930486L24Rik"
"5199","Gm8817"
"5200","Ighv1-19"
"5201","Gstt3"
"5202","Gm6344"
"5203","C430042M11Rik"
"5204","Grasp"
"5205","Ighv5-9"
"5206","Gm43197"
"5207","Gm38384"
"5208","4932442E05Rik"
"5209","Gm16174"
"5210","1810021B22Rik"
"5211","Gm7785"
"5212","Gm830"
"5213","Gm10010"
"5214","Gm38077"
"5215","Srp54b"
"5216","Gm45109"
"5217","Gm43909"
"5218","Gm9816"
"5219","Gm43147"
"5220","RP23-116A10.3"
"5221","Gm2445"
"5222","Gm43695"
"5223","Gm16638"
"5224","Tcaf2"
"5225","Gm15964"
"5226","Gm26606"
"5227","Gm29666"
"5228","Gm38190"
"5229","Hist3h2a"
"5230","Gm35339"
"5231","Ppia"
"5232","Igkv17-121"
"5233","Gm43039"
"5234","Gm11131"
"5235","Gm38250"
"5236","Igkv3-4"
"5237","Hspa1a"
"5238","Gm7285"
"5239","March5"
"5240","C130036L24Rik"
"5241","Gm3543"
"5242","Gm43013"
"5243","Gm44510"
"5244","H2-Aa"
"5245","1700049G17Rik"
"5246","Ighv3-2"
"5247","Ppp1r2-ps6"
"5248","Gm38057"
"5249","Mypopos"
"5250","Ddi2"
"5251","Shc2"
"5252","Gm26712"
"5253","1110019D14Rik"
"5254","Gm24888"
"5255","Gm7334"
"5256","Gm19710"
"5257","Gm4189"
"5258","Gm15767"
"5259","Gm4724"
"5260","Gm13966"
"5261","Gm37902"
"5262","Zbed5"
"5263","Gm8850"
"5264","Gm43848"
"5265","Gm43482"
"5266","Gm27389"
"5267","Xlr4c"
"5268","Ighv1-61"
"5269","Vis1"
"5270","Gm11973"
"5271","9330132A10Rik"
"5272","Gm20403"
"5273","Ccdc79"
"5274","4632428C04Rik"
"5275","Gm12407"
"5276","Ighv3-5"
"5277","Plxna4os1"
"5278","Gm5970"
"5279","Gm37979"
"5280","Gm11235"
"5281","Gm13032"
"5282","Gm7985"
"5283","March9"
"5284","Gm16938"
"5285","5830416I19Rik"
"5286","Tmem8"
"5287","Gm19585"
"5288","Gm43471"
"5289","Vmn2r1"
"5290","Hspe1-ps2"
"5291","Hist1h2ba"
"5292","4933427D06Rik"
"5293","Gm10244"
"5294","Gm6419"
"5295","BC048644"
"5296","Tcrg-C4"
"5297","Gm14830"
"5298","Gm15697"
"5299","Gm12848"
"5300","Gm13863"
"5301","Gm11474"
"5302","Gm14749"
"5303","Gm5228"
"5304","Gm12631"
"5305","Gm16359"
"5306","BC028777"
"5307","Gm11772"
"5308","Gm12676"
"5309","Gm13496"
"5310","A930041C12Rik"
"5311","A930019D19Rik"
"5312","Gm16045"
"5313","Gm13642"
"5314","4930512H18Rik"
"5315","Gm24685"
"5316","5330438I03Rik"
"5317","Gm21984"
"5318","BC001981"
"5319","Gm17552"
"5320","Gm26890"
"5321","5031415H12Rik"
"5322","Gm26888"
"5323","Gm17281"
"5324","Gm10489"
"5325","Gm26739"
"5326","Gm6473"
"5327","9430060I03Rik"
"5328","Gm28372"
"5329","Gm28319"
"5330","Gm29485"
"5331","Gm37475"
"5332","Gm7299"
"5333","Gm7804"
"5334","Gm38097"
"5335","Gm37697"
"5336","C630004M23Rik"
"5337","Gm37499"
"5338","Gm37509"
"5339","Gm43142"
"5340","Gm42967"
"5341","Gm43082"
"5342","Gm43455"
"5343","Gm42463"
"5344","Gm42648"
"5345","Gm43598"
"5346","Gm42642"
"5347","Gm43500"
"5348","Gm43868"
"5349","Gm43935"
"5350","Gm44085"
"5351","Gm44735"
"5352","Gm44549"
"5353","Gm44632"
"5354","Gm44530"
"5355","RP23-321G17.8"
"5356","RP24-225A21.3"
"5357","RP23-344G11.4"
"5358","Mir1897"
"5359","Ins2"
"5360","Gm5803"
"5361","Dmrtc1a"
"5362","Adgre4"
"5363","Prss40"
"5364","Gm9767"
"5365","AF529169"
"5366","4930433N12Rik"
"5367","Olfr545"
"5368","Cypt3"
"5369","4930557A04Rik"
"5370","Catsperg2"
"5371","4930515G13Rik"
"5372","4930563M21Rik"
"5373","Gm9925"
"5374","Kirrel3os"
"5375","Try4"
"5376","Rdh9"
"5377","Gm9996"
"5378","Gm10032"
"5379","Rnase11"
"5380","Olfr1029"
"5381","Npn2"
"5382","Gm8973"
"5383","Klk1b4"
"5384","Rps15a-ps2"
"5385","Trim43c"
"5386","Klra7"
"5387","Klri1"
"5388","Cntnap5a"
"5389","1700049E17Rik2"
"5390","Gm10392"
"5391","A330017A19Rik"
"5392","Kcnd3os"
"5393","Gm5544"
"5394","Gm10840"
"5395","Gm11529"
"5396","Trbv1"
"5397","Gm22656"
"5398","Gm10923"
"5399","Gm13235"
"5400","Mup19"
"5401","Gm3411"
"5402","Spin2-ps2"
"5403","Gm11625"
"5404","Gm14523"
"5405","Gm11490"
"5406","Gm12297"
"5407","Gm14282"
"5408","Gm15560"
"5409","Gm15197"
"5410","Gm15105"
"5411","Gm12390"
"5412","Gm12105"
"5413","Gm12403"
"5414","Gm16221"
"5415","Gm15776"
"5416","Gm12928"
"5417","Gm13712"
"5418","Gm11667"
"5419","Gm15779"
"5420","Gm8692"
"5421","Gm12803"
"5422","Gm12881"
"5423","Gm14323"
"5424","Gm12850"
"5425","Gm13410"
"5426","Gm11971"
"5427","Gm14824"
"5428","Ldha-ps2"
"5429","E530001F21Rik"
"5430","Gm12516"
"5431","Gm14846"
"5432","1700057H15Rik"
"5433","Gm14965"
"5434","Gm14827"
"5435","Gm15537"
"5436","B430219N15Rik"
"5437","Gm15478"
"5438","Gm13861"
"5439","Gm14344"
"5440","Gm7854"
"5441","Gm12843"
"5442","Gm14634"
"5443","Gm13571"
"5444","BC039966"
"5445","Gm15199"
"5446","Gm4473"
"5447","Gm16759"
"5448","Gm12002"
"5449","Gm16069"
"5450","5330413P13Rik"
"5451","Gm13544"
"5452","Gm12405"
"5453","Gm15423"
"5454","Gm16099"
"5455","BC037032"
"5456","Gm15477"
"5457","Gm13629"
"5458","Gm15541"
"5459","Gm11899"
"5460","Gm26167"
"5461","Gm24358"
"5462","3632454L22Rik"
"5463","A830011K09Rik"
"5464","Slmapos2"
"5465","Gm17180"
"5466","Gm8237"
"5467","Gm17133"
"5468","Gm8711"
"5469","Gm8108"
"5470","Gm8206"
"5471","Gm17732"
"5472","Gm3851"
"5473","Gm6633"
"5474","Gm20546"
"5475","Gm20621"
"5476","Gm20635"
"5477","Gm6900"
"5478","A830019P07Rik"
"5479","Gm3500"
"5480","Gm2075"
"5481","Gm8055"
"5482","Gm2663"
"5483","Gm26886"
"5484","Rpl31-ps15"
"5485","Gm26666"
"5486","Gm26540"
"5487","4930578M01Rik"
"5488","Platr4"
"5489","Mhrt"
"5490","G730013B05Rik"
"5491","4833412C05Rik"
"5492","Gm26689"
"5493","Gm26553"
"5494","Gm26794"
"5495","Gm27197"
"5496","Gm27217"
"5497","Rps2-ps5"
"5498","Gm17767"
"5499","Gm28513"
"5500","Gm7893"
"5501","Gm5575"
"5502","1700105P06Rik"
"5503","Gm29434"
"5504","Gm28196"
"5505","Gm28063"
"5506","Gm29019"
"5507","Gm29095"
"5508","4930568A12Rik"
"5509","Gm29371"
"5510","Gm18800"
"5511","9430092D12Rik"
"5512","Gm37575"
"5513","Gm37784"
"5514","Gm37785"
"5515","Gm37226"
"5516","Gm38313"
"5517","Gm38182"
"5518","Gm2453"
"5519","Gm38318"
"5520","Gm37170"
"5521","Gm20162"
"5522","Gm38328"
"5523","Gm32569"
"5524","Gm2136"
"5525","Pcdha8"
"5526","Gm38214"
"5527","Gm34267"
"5528","Gm37296"
"5529","Gm18529"
"5530","Gm37928"
"5531","Gm43054"
"5532","Gm17815"
"5533","Gm43362"
"5534","A930028O11Rik"
"5535","Gm42875"
"5536","Gm42680"
"5537","A430073D23Rik"
"5538","Gm43380"
"5539","Gm43159"
"5540","Gm17954"
"5541","Gm32102"
"5542","4933425M03Rik"
"5543","Gm43849"
"5544","Gm42505"
"5545","Gm43786"
"5546","Gm43279"
"5547","Gm44247"
"5548","Gm44091"
"5549","Gm44171"
"5550","1700027F06Rik"
"5551","Gm31108"
"5552","4933412L11Rik"
"5553","Gm45142"
"5554","Gm45081"
"5555","Gm10988"
"5556","RP23-182F18.1"
"5557","Gm45068"
"5558","Gm5596"
"5559","Gm44829"
"5560","Gm44529"
"5561","RP23-345D18.5"
"5562","RP23-322E23.5"
"5563","RP24-459A4.6"
"5564","RP24-466N11.9"
"5565","RP23-218K15.10"
"5566","RP24-77E13.12"
"5567","RP23-466C10.2"
"5568","Gm28306"
"5569","D930015M05Rik"
"5570","Gm16230"
"5571","Pyurf"
"5572","Rps6-ps1"
"5573","Klra13-ps"
"5574","Polr3g"
"5575","Atp5l2-ps"
"5576","Tcrg-C1"
"5577","RP23-284K1.5"
"5578","Gm8723"
"5579","H1foo"
"5580","Rpl17-ps4"
"5581","Gm8093"
"5582","2900018N21Rik"
"5583","Gm44256"
"5584","9330104G04Rik"
"5585","Rpl36-ps2"
"5586","2410018L13Rik"
"5587","Gm15929"
"5588","Gm5842"
"5589","Frat1"
"5590","0610040F04Rik"
"5591","Ighv8-11"
"5592","Kdm6bos"
"5593","Gm17235"
"5594","RP24-335D17.3"
"5595","1700084E18Rik"
"5596","Gm15801"
"5597","Gm1821"
"5598","Gm11944"
"5599","Snrnp27"
"5600","Fam69b"
"5601","Gm37415"
"5602","Gm10566"
"5603","Gm11453"
"5604","Try5"
"5605","Gm12905"
"5606","Gm5829"
"5607","Gm35507"
"5608","Gm44269"
"5609","Gm5416"
"5610","Gm28374"
"5611","Gm43351"
"5612","Rpl31-ps17"
"5613","Ak3l2-ps"
"5614","1700061H18Rik"
"5615","A830052D11Rik"
"5616","Platr22"
"5617","Gm6394"
"5618","Rpl21-ps10"
"5619","5730507C01Rik"
"5620","Gm6652"
"5621","Gm37748"
"5622","Gm13203"
"5623","Gm2383"
"5624","Gm13074"
"5625","Cd1d2"
"5626","BC049762"
"5627","Gm16288"
"5628","Ighv1-37"
"5629","RP24-191C23.5"
"5630","1110028F11Rik"
"5631","Gm20519"
"5632","RP24-134N2.3"
"5633","Als2cr12"
"5634","Gm15839"
"5635","Gm6822"
"5636","Gm13657"
"5637","Rasl2-9"
"5638","Gm4258"
"5639","Gm6181"
"5640","RP24-229E19.1"
"5641","Gm43924"
"5642","Gm11551"
"5643","Gm16537"
"5644","Gm5641"
"5645","Gm14398"
"5646","Gm42638"
"5647","Gm3962"
"5648","Gm15466"
"5649","Gm16556"
"5650","Rpl21-ps12"
"5651","4930579M01Rik"
"5652","Gm13869"
"5653","Atp5s"
"5654","Gm10517"
"5655","Gm15448"
"5656","Gm37969"
"5657","Hist1h2bm"
"5658","Col6a4"
"5659","Gm18943"
"5660","Gm14379"
"5661","Gm17090"
"5662","Gm14286"
"5663","Gm37310"
"5664","Prkag2os2"
"5665","Gm7634"
"5666","9130019P16Rik"
"5667","Gm12195"
"5668","Gm13698"
"5669","Gm13693"
"5670","Gm13697"
"5671","Gm13694"
"5672","Gm13696"
"5673","4930507D05Rik"
"5674","Gm17399"
"5675","Obox2"
"5676","Gm21847"
"5677","E230016K23Rik"
"5678","Gm6970"
"5679","Tyw1"
"5680","Gm11975"
"5681","Gm13341"
"5682","Gm17149"
"5683","Gm20441"
"5684","Gm16236"
"5685","Gm37447"
"5686","2700029L08Rik"
"5687","A530013C23Rik"
"5688","1700061G19Rik"
"5689","Ocm"
"5690","4833427G06Rik"
"5691","Tdgf1"
"5692","Hist1h1t"
"5693","Gm9796"
"5694","Gm21411"
"5695","Tctex1d4"
"5696","Fam69c"
"5697","A530095I07Rik"
"5698","1700028I16Rik"
"5699","Gm6177"
"5700","Clec4a4"
"5701","Cldn24"
"5702","Gm10212"
"5703","Peg12"
"5704","Gm17728"
"5705","AI507597"
"5706","Gm13225"
"5707","Ccnd3-ps"
"5708","Gm12745"
"5709","Gm12261"
"5710","Gm15455"
"5711","Atp5k-ps2"
"5712","Gm6285"
"5713","Gm14200"
"5714","Gm12281"
"5715","Gm15621"
"5716","Gm12229"
