genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,18996-L,18996-S,18999-L,18999-S,19151-L,19151-S,19152-L,19152-S,19153-L,19153-S,19313-L,19313-S,FT1,FT2,FT3,FT4,13604T,2611T,14576T,2942T,14109T,14104T,13179T,14397T,14474T,13085T,13576T,2163T
Col7a1,44.26749927,5.072240879,1.452769634,3.491428208,0.000480446,0.075515428,0.533749067,40.87667104,0,73.18343693,3.323617382,0.511313487,0,9.728167897,12.60436299,9.426588089,0,1.444668009,1.23,1.01,2.85,1.7,84.01,32.81,13.2,62.33,4.47,20.17,2.46,5.87,2.85,5.16,0.55,0.37
Sap25,172.7203676,5.570624039,1.595531554,3.491390707,0.000480513,0.075515428,0.266874533,24.49003115,0,102.0607974,112.6978225,0,0.124183748,86.38613093,9.377059815,187.7900381,0.416358253,0.722334004,23.4,28.31,30.03,23.38,16.92,17.64,9.31,22.41,32.73,13.84,11.19,8.84,5.42,11.96,12.8,17.51
Hps1,79.22301442,4.650985015,1.338712035,3.474223653,0.000512334,0.079483991,0.8006236,28.77717641,0.263688845,3.168114153,0.60429407,0.253100176,0,57.18983552,67.71181048,35.47373939,0,100.8859826,20.65,20.8,21.68,22.78,13.98,5.23,11,9.05,18.02,20.1,6.07,11.84,8.43,12.22,6.94,5.26
Hsdl1,272.1604216,2.925237538,0.842852085,3.470641634,0.000519216,0.079532128,42.43305082,147.1560157,8.438043053,102.0132757,7.855822904,118.1134155,0.591351179,178.9393307,59.79744302,195.973805,60.56120044,38.52448024,25.35,26.62,24.8,24.3,8.78,17.13,15.37,9.61,24.1,11.02,11.35,18.64,22.16,20.43,21.46,21.86
Fam186b,28.1028711,-3.431565699,0.98970623,-3.467256844,0.000525799,0.079533704,24.81933161,0.654026737,41.39914873,2.217679907,0,0,0,0.294792967,8.5006169,0.496136215,45.42090033,1.926224012,0.31,0.26,0.3,0.18,0.04,0.32,0,0.04,0.08,0.04,0.14,0.13,0.07,0.15,0.15,0.13
Psmb2,38.38666264,6.631620495,1.918618012,3.456456915,0.000547327,0.081767906,0,21.90989568,0,8.237096797,20.54599836,0,0,24.46781623,9.379991062,36.96214803,0,0,178.28,228.15,183.53,210.33,208.63,336,411.97,167.96,307.85,224.38,287.61,222.33,287.89,434.3,434.72,266.69
Mrps12,160.8461112,3.252203338,0.942189991,3.451748977,0.000556966,0.082044724,1.067498134,37.60653736,0.791066536,118.8042807,9.064411043,28.37789853,23.65404717,66.62321045,32.536844,193.2450558,0,0.240778001,57.52,89.25,75.22,77.09,34.49,37.29,31.94,48.04,68.78,75.47,70.88,50.04,50.22,36.6,89.57,36.29
C1qtnf5,35.46498852,4.410569845,1.27926735,3.447731114,0.000565317,0.082044724,4.536867069,31.39328336,0,6.01941689,0,2.045253948,0,0.8843789,36.64059009,29.76817291,0,21.18846413,7.5,6.86,9.85,7.56,4.41,20.18,14.73,16.49,4.45,10.14,5.56,2.03,10.09,2.77,5.31,5.37
Ganab,60.71250049,5.584476141,1.620694758,3.445729748,0.00056952,0.082044724,0.266874533,3.597147052,0,51.32344927,9.064411043,0,0,25.94178106,32.536844,65.2419123,0,11.55734407,119.05,135.89,126.91,135.15,119.47,67.95,124.2,71.99,108.59,134.67,92.81,129.42,110.09,119.6,121.05,68.58
Ehd3,47.75636269,-3.766805243,1.098315356,-3.429620847,0.000604425,0.086048817,52.8278139,0.333553636,78.87724433,1.463668739,0.912484045,0,1.162005067,0,9.110316319,5.698124431,36.55199641,21.88912812,24.43,18.25,23.63,19.32,0.45,4.25,1.42,1.01,8.04,1.8,0.86,1.01,0.85,0.52,2.67,0.72
Pgap4,54.95841359,4.041496878,1.180396323,3.423847398,0.000617413,0.086875726,0.266874533,6.213253998,0.527377691,8.870719627,6.042940695,14.82809113,0,111.4317414,16.12185964,10.66692863,0,2.407780015,7.85,6.69,7.69,7,1.82,0.16,0.13,15.87,29.95,1.18,0.14,0.07,0.18,0.01,0.63,0.11
Tor1a,37.74478985,-6.590318127,1.928876611,-3.416661329,0.000633941,0.08734989,34.96056388,0,94.6642955,0,1.812882209,22.49779343,0,0.589585933,0,0,6.15074692,0,34.23,46.14,36.99,36.83,67.09,56.69,72.38,43.39,77.62,66.82,59.05,46.56,49.26,47.71,71.87,41.29
Catip,74.33090593,3.161616419,0.926491166,3.412462562,0.000643788,0.08734989,1.334372667,15.04261494,0,1.584057076,0,0.511313487,2.661080306,75.46699945,93.5067859,54.57498367,1.182835946,9.390342058,58.64,62,65.57,67.13,4.07,1.32,1.53,0.26,0.54,0.49,0.37,0.89,0.63,0.26,0.48,0.81
Abi3bp,41.19122196,-2.936653112,0.860933239,-3.411011423,0.000647224,0.08734989,6.13811427,0.654026737,73.04181018,0.633622831,5.136499591,1.533940461,4.730809433,0.294792967,2.931247207,1.240340538,60.32463325,16.1321261,9.32,5.27,7.18,4.81,0.73,0.64,2.51,0.64,0.27,1.39,0.01,0.49,1.84,1.38,2.47,3.6
Plec,1178.265415,2.148644082,0.630723037,3.406636441,0.000657687,0.08734989,160.9253437,360.0417185,101.2565166,682.4086204,257.7344421,390.1347472,81.90213831,725.1906978,300.4528387,647.7058289,15.3768673,241.5027433,38.78,43.65,42.97,39.9,95.4,33.82,26.81,45.27,11.92,34.37,15.95,58.67,20.5,55.49,25.71,25.35
C1d,53.61594336,-3.835803864,1.127037619,-3.40343907,0.000665433,0.08734989,3.469368935,0.327013368,15.55764188,1.267245661,4.230058487,0,61.50052263,6.485445265,2.638122486,21.08578915,44.0014972,0.240778001,69.06,48.59,60.06,62.76,75.72,115.48,103.58,61.49,112.48,97.85,122.55,87.44,65.8,72.81,55.25,124.89
Sharpin,45.6026993,3.958222669,1.164045306,3.400402586,0.000672867,0.08734989,0.533749067,4.905200525,1.060029159,8.553908212,0.305168505,0.255656744,0,53.35752695,17.29435852,38.94669289,0,30.09725019,57.9,71.89,63.89,69.29,48.71,56.22,47.56,61.6,67.12,51.27,32.96,33.54,46.49,41.35,50.44,42.22
Rnf216,84.43130267,2.716131503,0.800757445,3.391952855,0.000693964,0.08734989,7.205612403,5.88624063,2.9005773,12.03883378,5.136499591,82.57712817,0.29567559,64.55965968,13.19061243,53.58271124,9.699254758,41.89537226,21.18,20.58,19.04,19.09,23.73,20.33,39.88,18.41,24.85,28.36,34.87,28.18,27.21,18.56,25.43,26.07
Myh7,309.3938857,2.036532369,0.600704489,3.390239973,0.000698315,0.08734989,36.26558035,269.1679736,149.5247598,142.5746412,13.41532834,42.61797915,8.624856948,124.9951658,64.90074441,162.8294251,17.12983017,87.15200542,5.01,5.9,6.04,6.41,0.01,0.17,0.24,0.11,0.11,0.05,0.15,0.01,3.4,0,0.05,0.87
4931428F04Rik,32.81615942,5.420146141,1.598805581,3.390122105,0.000698615,0.08734989,2.335152168,72.15876986,0,5.091159443,1.9156122,0.212195097,0,26.63749246,0,0,0,12.50119384,6.77,6.68,6.8,5.87,3.94,2.54,3.33,1.37,24.68,2.65,2.2,1.53,4.58,2.24,4.17,3.35
Ndufs5,42.96604761,5.04154385,1.487736283,3.388734891,0.000702159,0.08734989,0,22.40368586,0.263688845,33.84179538,26.89108609,0,0,8.254203065,2.638122486,28.03169616,1.892537514,15.26773307,115.89,142.41,127.57,134.03,89.65,89.78,108.61,105.57,184.09,63.16,109.05,83.1,118.27,75.73,231.84,72.18
Mettl23,46.9360989,3.099675364,0.915186005,3.386934837,0.000706782,0.08734989,0.8006236,21.2133572,0.382348826,22.49361048,15.40949877,20.70819623,3.843782664,26.46356461,4.70172052,34.3971238,0.236567189,0.722334004,38.29,40,31.51,36.64,49.73,19.19,41.26,29.57,43.06,49.9,33.72,38.89,30.36,19.78,67.75,18.11
Edn1,361.2326352,2.63776289,0.778860801,3.386693598,0.000707403,0.08734989,14.94497387,275.9992829,1.582133072,31.36433011,126.5996076,127.8283718,9.461618866,235.5395803,105.8180242,236.1608384,15.14030011,32.7458082,21.12,14.96,19.52,15.98,5.43,5.56,4,17.43,0.57,10.25,2.77,3.28,4.34,0.97,4.56,4.8
Gdpd2,36.83859879,6.295045507,1.860349745,3.383796796,0.000714909,0.087384979,0,4.905200525,0,12.3556452,15.71164581,0,0,17.98237096,5.569369693,57.05566475,0,0,143,166.1,146.87,168.63,18.11,104.15,8.82,7.46,2.92,5.07,207.64,10.35,181.01,12.54,135.02,181.74
Kcnj3,25.18176838,-4.180218568,1.238153743,-3.376170845,0.000735023,0.088307197,30.79198367,0.654026737,3.430591879,0,10.62348974,0,0.292718834,0.294792967,10.84561467,0.248068108,15.43837477,33.46814221,0.59,0.05,0.35,0.08,0.04,0,0,0.04,20.56,0.06,0,0,0,0.01,0.13,0
Mmp3,135.8155067,-3.110869296,0.921626151,-3.375413438,0.000737049,0.088307197,110.4860569,11.77248126,23.46830724,3.168114153,106.0536092,26.33264459,27.79350542,0.294792967,4.689995531,0,65.29254423,124.0006708,2.1,0.16,1.41,0.28,710.01,3.22,65.05,14.38,0.06,3.82,1.47,7.34,0.83,0.83,0.11,0.04
Rai2,90.57666771,-3.476898833,1.031467112,-3.370828593,0.000749425,0.088891483,130.2347723,0.981040105,28.74208415,4.118548398,2.417176278,0,70.9621415,2.063550766,10.84561467,3.472953506,19.63507671,60.91683438,12.34,13.7,14.21,14.01,0.11,1.9,0.83,0.41,13.31,0.2,0.16,0.26,26.65,0.64,1.53,12.09
Derl3,89.26044626,6.067399822,1.801379516,3.368196301,0.000756617,0.088891483,0,1.308053473,0,50.37301503,93.66558078,0,0,28.59491776,37.51996425,56.31146042,0,0.481556003,67.1,28.88,56.91,27.91,1.99,2.17,7.6,9.04,10.3,2.73,0.21,7.86,7.69,11.31,63.72,3.32
Adgrg1,66.58413604,5.11279186,1.519672003,3.364404852,0.000767089,0.089255264,0.266874533,57.22733946,1.054755382,20.59274199,30.81899755,0,0,48.64083949,24.62247654,32.49692209,0,3.370892021,50.78,50.51,53.8,44.3,9.72,93.22,57.88,37.07,84.9,40.69,41.23,8.48,76.75,50.87,19.71,52.53
Gpsm1,15.70827393,-6.050135218,1.799735644,-3.361679944,0.000774699,0.08928217,6.404988803,0,0,3.484925568,20.03234841,0,5.913511791,0,6.448743855,0.248068108,5.677612541,0,14.71,11.88,11.71,9.14,22.4,28.71,9.87,4.56,40.9,17.93,17.2,5.38,54.75,8.72,57.47,16.97
Prdm1,70.34466697,-2.947033307,0.877780022,-3.357371132,0.000786874,0.089343575,31.22432042,2.616106947,113.9135812,2.851302737,3.927911452,0,22.17566922,3.537515599,2.051873045,1.984544861,66.71194736,32.0234742,3.09,1.66,2.37,1.9,11.59,2.59,5.83,6.57,0.99,9.65,1.21,0.74,1.22,0.88,2.59,1.55
Myrfl,53.88270965,-5.128088242,1.52791031,-3.356275699,0.000789998,0.089343575,2.401870801,0,60.64843444,0,0,0,71.55349268,0,0.586249441,0,25.07612206,2.889336018,0.16,0.41,0.25,0.36,0.04,0.89,0.01,0.05,0.11,0.05,0.08,0.27,0.73,0.04,0.67,0.39
Card11,38.32271059,-5.173899579,1.54873141,-3.340733937,0.000835573,0.093562508,19.21496641,0,80.42509785,0,1.812882209,0,0,0,0,0.248068108,67.18508174,1.68544601,1.24,1.35,1.45,1.1,0.14,0.78,2.43,5.79,0.96,1.2,2.92,2.69,0.35,0.17,0.77,2.23
Slc39a6,114.1300706,4.58074922,1.373189048,3.335847475,0.000850398,0.093562508,3.469368935,147.4830291,0,193.8885861,1.208588139,0,0.29567559,2.947929666,3.810621369,39.69089722,0,2.648558016,14.04,14.62,17.91,13.54,29.27,60.37,20.95,35.91,87.03,8.89,30.16,28.4,34.34,31.28,33.25,20.77
Siva1,199.7252944,-4.353847557,1.305750455,-3.33436419,0.000854946,0.093562508,0.533749067,0,0,1.267245661,12.38802843,0,396.5009656,24.46781623,14.65330479,0.496136215,3.07537346,0,51.22,41.73,47.99,36,75.06,30.77,110.15,39.24,77.61,104.52,69.54,42.58,71.06,77.03,59.96,53.71
Trip6,63.60936309,4.961667622,1.48851608,3.333297966,0.00085823,0.093562508,0,38.26056409,11.6023092,21.54317624,17.82667505,0.766970231,0,18.27716393,7.328118017,29.2720367,0,87.64319254,43.2,55.42,50.74,47.69,46.65,59.36,100.68,30.65,9.91,55.89,86.04,63.94,70.43,92.92,48.86,75.09
Gm9703,79.61040975,-4.006636577,1.205380705,-3.323959442,0.000887491,0.09588865,47.59707304,3.044494459,12.52785705,20.84935924,2.643786554,0,105.2486829,0.341959841,24.20623943,0.280316962,4.277134781,14.29739773,0,0,0,0.37,0.79,0.56,1,0.25,0,1.06,1.06,0.71,0.51,0.24,0.37,0.19
Idua,35.37834124,3.63950563,1.097000318,3.317688764,0.000907656,0.096604431,0,0.313932834,0.263688845,13.30607944,3.625764417,22.01971532,0,13.2656835,3.810621369,56.80759664,1.007776226,0.483963783,19.84,16.2,20.52,15.87,12.44,13.25,6.38,5.67,10.84,5.3,10.21,11.61,15.9,8.11,12.01,12.63
Gmppb,245.6484581,3.909001021,1.17849513,3.316942872,0.000910082,0.096604431,1.256979053,24.64372744,9.74066595,214.7189367,126.2370311,0.945929951,0.354810707,16.73539671,118.5660183,166.9051842,0.473134378,138.3775252,89.67,118.05,55.73,79.48,25.58,37.69,19.73,62.19,73.77,12.36,43.5,44.52,25.17,36.32,33,14.06
Abhd4,30.81572467,-4.376668672,1.321511696,-3.311865257,0.000926762,0.097519508,10.94185587,0,39.02594912,0,8.762264008,0,9.461618866,16.21361316,9.379991062,7.442043228,6.387314109,0.722334004,106.62,92.63,105,85.59,50.49,118.95,45.06,67.94,28.98,34.87,75.02,26.02,142.62,104.72,57.51,76.23
Nbeal2,20.8985987,4.244008627,1.28448054,3.304066113,0.000952934,0.099409044,0,9.156374313,2.636888454,37.06376747,0,2.045253948,0,3.832308566,1.172498883,12.65147349,1.419403135,0.240778001,19.68,25.6,23.98,20.7,8.85,15.86,6.88,43.39,9.09,10.24,17.14,8.42,9.91,4.81,7.91,8.52
Mrm1,40.75267236,5.570726876,1.688983661,3.29827162,0.00097282,0.099828246,0,0.327013368,0.263688845,38.01736983,48.04137853,0,0,8.843788998,4.689995531,8.434315658,0,15.4097921,16.28,11.11,10.33,9.54,12.79,3.03,6.2,8.55,19.36,12.28,4.72,5.61,11.89,4.22,4.36,4.12
Dapk2,114.0368029,-3.393533879,1.02902768,-3.297806216,0.000974434,0.099828246,20.28246454,2.289093578,6.064843444,0,12.69017546,5.624448358,43.16863608,89.91185481,51.58995084,0,174.8231528,12.27967808,3.32,1.68,3.43,2.05,3.01,12.23,2.2,4.56,0.7,1.74,20.17,0.95,9.1,2.04,3.7,11.41
Cenpx,37.30686379,5.68280213,1.727978208,3.288700114,0.001006512,0.099828246,0,1.635066842,0,14.89013652,15.10735174,0,0,11.4969257,20.51873045,53.08657503,0,1.444668009,115.12,139.73,118.57,119.25,61.78,24.94,79.99,60.11,76.97,88.44,113.32,55.68,49.62,64.65,152.1,44.58
Orai3,88.57836456,3.317672465,1.009046431,3.287928449,0.001009275,0.099828246,3.197156911,35.97474065,1.845821918,15.52375935,2.417176278,0,0.887026769,50.64248373,19.03258811,149.3370008,0.709701568,10.59423207,52.35,58.02,54.18,51.52,13.13,16.13,16.7,28.04,14.68,11.01,20.47,42.35,22.87,36.8,20.67,18.71
C4b,203.8276698,-3.624137265,1.105098575,-3.279469674,0.001040024,0.099828246,80.86298364,0.654026737,1.845821918,98.21153873,21.45243947,1.278283718,294.7885628,10.90733976,21.39810461,8.682383766,4.967910974,0.240778001,39.5,37.08,37.62,37.89,22.27,200.39,50.11,66.61,3.32,36.74,22.78,30.76,140.81,8.52,14.32,131.24
Dydc2,33.12266881,4.825346367,1.471587765,3.279006853,0.001041731,0.099828246,0,10.46442779,0,6.653039721,0.60429407,0.511313487,0,25.94178106,6.155619135,55.81532421,0,0,21.61,22.63,22.55,29.66,0,0.54,0.34,0,0,0.18,0.12,0.12,0.74,0,0.36,0.28
Zfp719,175.3884525,3.455067014,1.055162425,3.274440914,0.001058713,0.099828246,45.63554522,60.82448651,1.582133072,167.2764273,0.302147035,60.07933474,0.29567559,56.30545662,55.98682165,39.93896532,88.00299439,82.58685451,12.78,13.63,11.38,14.54,8.27,11.44,7.13,4.45,10.43,4.95,10.45,17.29,12.61,11.42,16.06,13.64
Gm6763,20.43859971,-3.595919089,1.098430439,-3.273688493,0.001061536,0.099828246,6.861344255,0.555922726,5.450448435,0,0,0,28.3848566,0.589585933,6.519093788,0.372102161,9.38935174,2.443896715,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0.41,0
Gm8764,20.43859971,-3.595919089,1.098430439,-3.273688493,0.001061536,0.099828246,6.861344255,0.555922726,5.450448435,0,0,0,28.3848566,0.589585933,6.519093788,0.372102161,9.38935174,2.443896715,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0.41,0
Mospd2,44.61010537,-3.350381665,1.023642141,-3.273000916,0.001064121,0.099828246,27.22120241,0,49.04612525,9.821153873,12.38802843,9.459299512,4.730809433,0.294792967,4.983120252,0,48.02313941,15.4097921,15.13,14.82,15.15,16.17,13.33,21.06,27.53,20.47,67.3,20.75,30.65,53.33,31.12,25.29,16.85,32.94
Ccdc88a,39.11503456,-3.099014724,0.947606081,-3.270361794,0.0010741,0.099828246,38.96368189,1.635066842,74.36025441,1.267245661,1.510735174,0,0.29567559,0.589585933,6.155619135,0.99227243,35.24851119,11.07578807,4.43,3.73,4.22,4.96,14.12,8.9,4.16,1.34,58.04,2.76,7.94,26.33,13.51,6.71,15.29,7.11
Cyb561,737.8310518,3.209155754,0.981736153,3.268857672,0.001079826,0.099828246,27.48807695,189.6677536,15.29395303,522.1052124,174.6409861,9.203642768,13.60107712,588.7015543,304.2634601,498.8649644,2.365671892,56.82360835,132.76,159.71,139.47,142.15,11.53,37.16,81.77,17.6,51.37,48.36,65.45,50.63,18.57,47.88,63.61,24.97
Slc39a11,38.23314358,4.0005292,1.224038499,3.268303411,0.001081943,0.099828246,0.8006236,73.57800787,0,12.03883378,0,0.255656744,1.478377948,38.91267159,1.758748324,5.209430259,0,0,25.13,34.31,28.67,27.75,18.91,16.97,29.38,21.12,17.01,29.17,41.15,24.17,13.23,5.77,36.83,12.93
Irf7,41.88954425,4.60360792,1.409263218,3.266677126,0.001088177,0.099828246,2.935619868,57.55435283,1.318444227,14.89013652,17.82667505,0,0,9.138581964,1.758748324,22.07806158,0,18.29912811,26.05,12.77,21.55,13.24,6.34,11.12,87.52,123.09,18.57,10.54,25.12,130.57,37.54,9.88,72.62,19.93
Fahd2a,181.9463241,2.154575045,0.659602028,3.26647729,0.001088945,0.099828246,12.00935401,90.9097164,12.92075343,47.83852371,25.98464499,78.23096353,19.21891332,135.0151787,88.52366565,67.97066148,2.838806271,43.82159627,26.99,30.4,33.8,31.59,6.33,3.95,5.49,16.38,24.49,11.06,13.69,15.81,11.56,5.31,8.25,10.7
