genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,18996-L,18996-S,18999-L,18999-S,19151-L,19151-S,19152-L,19152-S,19153-L,19153-S,19313-L,19313-S,FT1,FT2,FT3,FT4,13604T,2611T,14576T,2942T,14109T,14104T,13179T,14397T,14474T,13085T,13576T,2163T
Sdr39u1,33.65036155,5.457446292,1.296978428,4.207815778,2.57851E-05,0.016422391,2.935619868,14.71560157,1.845821918,6.922329424,0,4.090507897,0,3.242722632,0,66.97838905,0,12.76123408,74,86.25,78.47,79.94,23.58,34.85,31.56,36.35,44.54,27.57,24.42,23.97,23.88,34.87,27.63,29.74
Mob2,144.4682035,5.419477298,1.296331151,4.180627222,2.90706E-05,0.017589173,4.803741602,117.3977992,0,50.68982644,71.30670021,17.38465856,0.29567559,75.17220648,86.76491732,47.38100855,0,15.8913481,52.34,48.72,53.78,44.88,21.01,27.47,32.64,42.54,62.65,26.07,48.15,49.84,65.87,47.02,80.28,48.55
Gbp8,36.35605279,5.134394052,1.234575049,4.158835103,3.19875E-05,0.018432399,0.426999254,45.71646889,0,0.316811415,0,56.31095434,0,0.294792967,4.100814842,23.56647022,0,3.498504362,104.81,251.19,152.76,280.32,1.06,0.46,26.96,1.38,2.24,1.4,0.68,4.04,7.98,8.49,1.14,27.72
Gm15794,50.06247965,5.045661346,1.223912313,4.122567681,3.74672E-05,0.01932777,1.067498134,10.79471129,1.054755382,24.72713096,0,112.294668,0,0.589585933,0.879374162,1.240340538,0,38.76525824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnk7,31.0466321,5.786095329,1.405205189,4.117615972,3.82812E-05,0.01932777,12.80997761,3.597147052,0.791066536,58.92692324,0,17.89597205,0,8.254203065,0,0.496136215,0,7.464118046,3.87,4.21,3.56,3.39,0.15,0.13,5.04,3.3,0.36,0.83,0.32,0,0.24,0,0,0.25
Mmp19,19.08750715,-4.670747712,1.134418753,-4.117304744,3.83329E-05,0.01932777,11.72913575,0,7.153878376,0.316811415,2.565228325,0.766970231,1.182702358,0,11.43479535,0,45.67166155,3.407008721,5.29,4.3,5.09,5.58,42.93,6.29,6.1,3.33,0.81,11.28,7.99,4,3.12,3.99,0.47,0.91
Phax,53.93190151,5.993377742,1.464901218,4.091318697,4.28927E-05,0.020615279,0.266874533,3.92416042,0,91.87531043,10.27299918,0.511313487,0,9.728167897,1.465623603,22.07806158,0,43.09926227,38.89,35.32,37.67,39.74,80.27,66.33,60.56,35.56,62.24,33.53,54.38,53.73,50.44,49.14,60.75,45.2
Gm14418,32.12397746,5.915435681,1.452764063,4.071848851,4.66414E-05,0.020615279,0,6.890171671,0,4.292794677,1.003128155,0,0,37.93101101,0.993692803,32.42250166,0.704970224,23.79608989,18.04,14.61,14.51,11.39,19.82,14.97,11.29,5.09,31.95,15.8,36.69,9.73,20.03,3.03,14.67,5.63
Gm10571,116.2746823,4.889823811,1.201290214,4.070476689,4.6917E-05,0.020615279,52.57428309,2.289093578,6.32853229,127.0413775,0.60429407,139.0772685,0,15.0344413,2.638122486,3.472953506,0.473134378,91.73641857,0.12,0.02,0.07,0.05,0,0,0.07,0.19,0.35,0.05,0.07,0.39,0.12,0.1,0.28,0.14
Gm12713,56.48466125,-5.815796507,1.430131868,-4.06661556,4.77008E-05,0.020615279,45.63554522,0,0.527377691,2.851302737,0.906441104,0,64.45727853,0,2.344997766,0,73.09926147,2.167002013,0,0,0,0.13,0,0,0.12,0,0,0.13,0,0,0,0,0,0.05
Vmn1r80,206.7876212,-3.08778028,0.765020134,-4.036207866,5.43221E-05,0.02239737,46.01984455,8.786849207,24.52042573,4.337148275,401.8464918,9.54110967,6.5699116,2.73567873,51.56650086,0.756607728,48.13196032,11.45140175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mest,28.42026281,-5.279840148,1.312888187,-4.021545934,5.78174E-05,0.02239737,12.20950991,0.696538475,97.30118396,0.316811415,1.208588139,0,0,0,2.752441127,0,6.15074692,0,4.89,1.7,2.48,1.57,15.78,13.44,3.85,5.82,10.65,6.04,22.51,402.64,367.85,4.14,21.55,188.56
Kif17,62.6422417,3.584001585,0.892041749,4.017750949,5.87562E-05,0.02239737,1.601247201,1.965350344,1.131225147,19.01818926,1.208588139,27.53934442,1.774053537,95.51292118,5.800938222,4.963842833,0.972291148,56.57801479,3.54,3.54,4.03,3.36,0.33,0.65,0.85,0.15,1.35,1.08,0.23,1.86,0.67,3.12,0.28,3.11
Gm7289,70.3000522,-7.014923273,1.746801982,-4.015866334,5.92278E-05,0.02239737,51.41604762,0,27.68732877,0,101.4458669,0,0,1.179171866,6.72721234,0,12.06492665,41.11043597,0,0.07,0.06,0,0,0,0.07,0,0.09,0,0.36,0.18,0,0.07,0,0
U2af1,34.58526612,2.886602739,0.728850451,3.960487005,7.47971E-05,0.027427857,0.533749067,11.73323966,2.109510763,9.821153873,2.115029243,12.44281371,1.774053537,26.53136699,13.19061243,22.8222659,1.241977743,14.91619719,113.61,146.15,139.47,149.03,242.36,180.29,232.02,117.08,296.83,132.25,120.01,121.96,417.26,215.88,132.58,192.69
Gm28438,122.2740575,-11.94209371,3.036937952,-3.932281101,8.41436E-05,0.029092045,0,0,0,0.003168114,39.51781068,0,220.2487467,0,0,18.04695483,0,0,2379.4,1713.13,1457.96,1791.25,2650.67,1480.87,2317.49,1985.35,2106.2,2296.3,4635.58,2794.76,2812.24,843.79,2820.1,3462.01
Nprl2,42.29222897,4.903969261,1.249755185,3.923943921,8.7111E-05,0.029281402,0.272212024,24.45078955,0,27.892077,3.625764417,1.354980741,0.89294028,42.74498016,12.31710076,22.59404324,0,4.035439305,27.81,31.22,32.09,31.69,18.89,18.2,16.04,14.44,66.64,13.07,25.86,18.01,17.96,21.33,20.87,17.78
Il18r1,71.03542949,-3.21896985,0.823870332,-3.90713165,9.33983E-05,0.029857585,55.27505337,2.943120315,66.97432985,0.842718365,31.12114458,0.667264101,5.322160612,2.956773455,12.61901923,2.530294697,75.73225429,32.27869888,3.77,2.92,3.88,3.62,4.78,8.11,56.55,37.34,0.54,28.55,18.75,1.63,0.25,10.99,0.44,8.23
Cox10,183.2446277,-3.506766293,0.898693574,-3.902071178,9.53731E-05,0.029857585,143.8453735,24.52600262,20.56772994,0.316811415,24.77605685,0,204.0161568,26.23657403,24.62247654,15.38022267,85.87625536,9.390342058,6.68,9.87,7.4,9.2,12.14,6.21,9.76,6.52,12.87,11.09,17.42,12.74,6.32,6.05,7.85,5.14
Eefsec,385.6147707,-4.81122189,1.234615175,-3.896940509,9.74155E-05,0.029857585,2.401870801,1.635066842,0.527377691,3.484925568,19.33741023,0,771.1219376,7.959410098,69.17743408,2.232612968,5.677612541,0,13.02,17.51,16.44,16.98,9.46,9.63,9.65,12.55,21.71,11.72,11.48,14.97,10.01,22.1,16.14,11.86
Cdkl1,129.9529557,3.110903514,0.799579751,3.890673208,9.99665E-05,0.029857585,10.14123227,18.31274863,25.05044031,113.4184867,2.115029243,128.3396853,2.661080306,61.31693705,39.86496201,42.66771451,0.236567189,11.55734407,241.73,240.13,234.44,243.33,1.03,13.97,5.43,0.05,3.02,1.15,5.17,0.19,6.59,22.95,1.28,10.26
Gm9795,62.07600992,11.66910482,3.001476715,3.887787889,0.000101162,0.029857585,0,15.87976917,10.14147299,0,0,184.2364757,0,0,0,13.50482778,0,11.91369551,0,0.76,0,0.2,5.11,0.93,1.42,0,8.51,1,0.06,3.4,0,0.34,1.24,0.35
Bex1,49.24949037,4.128127881,1.064335478,3.878596518,0.000105061,0.03027003,0,10.85030356,0,6.336228305,0.87018346,25.80599169,5.697668611,23.55690596,3.397315513,79.58024892,1.419403135,0.963112006,51.67,41.66,52.02,33.79,6.64,13.37,13.96,1.02,287.56,156.36,1.63,63.95,45.69,76.07,14.44,79.75
Fam20a,25.27505568,4.311051104,1.11651694,3.861160497,0.00011285,0.031758016,3.736243468,17.00469515,0,2.217679907,0,0.511313487,0,37.73349972,0.586249441,16.3724951,1.182835946,6.260228039,15.18,9.95,17.6,11.15,22.86,7.85,12.55,5.93,1.12,16.72,22.28,7.76,13.38,16.04,1.49,10.06
Mxi1,111.9045981,4.236653802,1.099954262,3.851663609,0.000117318,0.031782783,38.69680735,8.175334208,8.438043053,138.4465885,0,30.43082219,0,49.82001135,1.465623603,14.63601835,19.39850952,105.7015427,29.9,18.68,26.12,17.87,20.39,20.94,21.62,22.76,30.66,18.18,11.79,20.37,23.62,30.32,24.1,24.8
Umps,59.65130568,4.826213497,1.253611115,3.849849,0.000118191,0.031782783,0,10.13741442,0,44.98722097,4.230058487,5.624448358,0.887026769,32.72201929,38.69246313,57.55180096,0,2.648558016,9.6,10.95,8.99,10.55,25.96,29.06,23.07,7.57,45.39,33.74,28.35,25.05,20.82,39.61,18.66,23.57
Map3k1,46.18802983,-4.572274032,1.189944611,-3.842425932,0.000121824,0.032047706,26.95432788,3.92416042,27.15995108,0,29.91255644,0,27.49782983,1.7687578,7.621242738,0.248068108,7.570150055,21.42924213,8.78,10.26,8.66,9.75,8.05,16.42,10.78,12,15.04,14.6,9.55,8.04,10.02,28.29,12.54,15.54
Mlycd,71.77937778,7.171805791,1.874202682,3.826590294,0.000129931,0.033452958,0,36.62549725,0,72.23300268,57.40793661,0.255656744,0,11.79171866,43.08933394,9.426588089,0,0,18.14,19.88,20.92,19.22,8.08,5.03,11.78,8.2,19.11,5.67,8.42,16.62,12.53,15.63,10.86,8.88
