"","c..Gm5637....Gm6024....Gm5385....Rpl9.ps6....Frg2f1....Gbp8..."
"301","Gm9068"
"302","Gm5526"
"303","Olfr550"
"304","Fbxw14"
"305","Zfp27"
"306","Ighv2-6-8"
"307","Gm8420"
"308","BC053393"
"309","Gnao1"
"310","Gm4540"
"311","Gbp9"
"312","Cd300ld"
"313","Gm10051"
"314","Clec2g"
"315","3110009E18Rik"
"316","Poteg"
"317","Gm14388"
"318","Wfdc18"
"319","Gm16409"
"320","Gm14886"
"321","Zfp607a"
"322","Gm6204"
"323","Gm49309"
"324","Rtraf-ps"
"325","Olfr545"
"326","Gm6619"
"327","Pin1"
"328","Olfr881"
"329","Ccdc162"
"330","Gm7776"
"331","Vmn2r4"
"332","A2ml1"
"333","Gm18089"
"334","Gm28051"
"335","Tekt4"
"336","Gm16330"
"337","B230307C23Rik"
"338","Dcpp3"
"339","Zfp946"
"340","Olfr1226"
"341","Rpl31-ps13"
"342","Gm11427"
"343","Gm15844"
"344","Zfp386"
"345","Rpl36a-ps1"
"346","Oog1"
"347","Gm18782"
"348","Mycn"
"349","Gm3052"
"350","Gm50387"
"351","Gm7516"
"352","Gm49582"
"353","Rps12-ps23"
"354","Gm33312"
"355","Slco6c1"
"356","Chia1"
"357","Krt74"
"358","Gm13216"
"359","Gm4263"
"360","Gm45105"
"361","Pnmal1"
"362","5730522E02Rik"
"363","Cyp2d12"
"364","Gm18072"
"365","Gm6563"
"366","Gm4994"
"367","Abhd11os"
"368","Ftl1"
"369","Gm14654"
"370","Gm19024"
"371","Serpinb9"
"372","Ifitm1"
"373","Tmem269"
"374","Zfp442"
"375","Gm6321"
"376","Gm7993"
"377","Gm13333"
"378","Acyp1"
"379","Rpl13a-ps1"
"380","Gm18273"
"381","Gm8899"
"382","Gm10392"
"383","Pf4"
"384","Smpd5"
"385","Gm48660"
"386","Pisd-ps1"
"387","Gm18012"
"388","Htr1d"
"389","Mfsd4b5"
"390","G530012D18Rik"
"391","Mfsd13b"
"392","Gm5431"
"393","Olfr1490"
"394","Zfp141"
"395","Irs3"
"396","Dcpp2"
"397","Gm19196"
"398","Gm4034"
"399","Ins1"
"400","Siglecg"
"401","Gm8738"
"402","Olfr1467"
"403","Catspere1"
"404","Cdiptos"
"405","1700030C10Rik"
"406","Olfr914"
"407","Eif3j1"
"408","Gm5312"
"409","Gm10037"
"410","Gm11451"
"411","Gm48333"
"412","Gm13426"
"413","Gm15593"
"414","Gm4810"
"415","Scgb1c1"
"416","H3f3b"
"417","Zfp957"
"418","Gm18736"
"419","Olfr50"
"420","Slc6a20b"
"421","Gm5879"
"422","Rpl21-ps2"
"423","Rpl17-ps3"
"424","Gm13559"
"425","Gm49594"
"426","Dhrs4"
"427","Zfp987"
"428","Rpl27a-ps4"
"429","Rsph3b"
"430","Olfr1462"
"431","Gm48417"
"432","Gm47085"
"433","Gimap9"
"434","Gm9894"
"435","Gm7560"
"436","4930578G10Rik"
"437","Gm18492"
"438","Gm11472"
"439","Olfr1269"
"440","Gm8947"
"441","Taf11"
"442","Gm7201"
"443","Gm13181"
"444","Vmn2r95"
"445","Gm4968"
"446","Gm16072"
"447","E330021D16Rik"
"448","Gm4654"
"449","Rps27"
"450","Crxos"
"451","Mfsd4b1"
"452","Gm14899"
"453","Gstm7"
"454","Xntrpc"
"455","Vmn1r75"
"456","Gm12864"
"457","Gm9194"
"458","Olfr52"
"459","Clec18a"
"460","Cfh"
"461","Gm38393"
"462","Gm11221"
"463","Gm18939"
"464","Gm10913"
"465","T2"
"466","Gm266"
"467","Gm42533"
"468","Zfp626"
"469","AW551984"
"470","Olfr837"
"471","Gm14303"
"472","Banf1"
"473","Ddi2"
"474","Gm10518"
"475","Gm8050"
"476","Gm5316"
"477","Washc2"
"478","Ppp4r2"
"479","Rpl10-ps6"
"480","9130230L23Rik"
"481","Gm48054"
"482","Gm19427"
"483","Gm2225"
"484","Acnat2"
"485","Gm45116"
"486","Gm9115"
"487","Gm4754"
"488","Gm15644"
"489","Gm10160"
"490","Gm47659"
"491","Cbwd1"
"492","Platr25"
"493","Olfr1157"
"494","Gm47860"
"495","Gm14917"
"496","Cd33"
"497","Vmn1r208"
"498","Tmem45a"
"499","Gulo"
"500","Gm19290"
"501","Vmn2r39"
"502","Gm44503"
"503","Pramel15"
"504","Zfp820"
"505","Gm6316"
"506","Gm17177"
"507","Zfp617"
"508","Eif1a"
"509","Tes"
"510","H2-Bl"
"511","Spata33"
"512","Gm8043"
"513","Olfr1209"
"514","Zfp764"
"515","Xlr3c"
"516","Gm10110"
"517","Cryzl2"
"518","Gm20257"
"519","Gm47466"
"520","Gm6092"
"521","Gm15772"
"522","Gm3755"
"523","Gm15539"
"524","Gm48165"
"525","Gm9632"
"526","Gm8170"
"527","Gm2594"
"528","Gm29427"
"529","Gm2099"
"530","Gm6919"
"531","Gm13147"
"532","Rpl23a-ps3"
"533","Rpl35a-ps7"
"534","Gm45551"
"535","Acnat1"
"536","Spef1l"
"537","Gm8885"
"538","6330549D23Rik"
"539","Rps13-ps2"
"540","Gm10045"
"541","4930449A18Rik"
"542","Gm18829"
"543","Gm4275"
"544","Gm48416"
"545","Kifc1"
"546","Gon4l"
"547","Serf2"
"548","DPCD"
"549","Gm28040"
"550","Gm5491"
"551","Col22a1"
"552","4930526A20Rik"
"553","Zfp111"
"554","Gm12366"
"555","Dhfr"
"556","Map1lc3b"
"557","Rps2-ps12"
"558","Gm47516"
"559","Gm14800"
"560","Gm10662"
"561","Gm5891"
"562","Zfp85"
"563","Ms4a20"
"564","Mndal"
"565","Zfp993"
"566","Gm2534"
"567","Gm5928"
"568","Cyp2d22"
"569","Gm48391"
"570","Chchd4"
"571","Rpl14-ps1"
"572","Rps27a-ps2"
"573","Gm15058"
"574","Tagap1"
"575","Zkscan4"
"576","Gm18360"
"577","Acat2"
"578","Gm5590"
"579","Gm9077"
"580","Gm11826"
"581","Vmn1r63"
"582","Srek1"
"583","Slfn3"
"584","Muc1"
"585","Olfr1270"
"586","Acsm2"
"587","Serpinb6a"
"588","Gm4767"
"589","Gm7392"
"590","Gm47605"
"591","Gm49193"
"592","Rpl3-ps1"
"593","Gm13226"
"594","Gm44487"
"595","Cyp2c53-ps"
"596","Gm8860"
"597","Fut2"
"598","Gm47844"
"599","4930568D16Rik"
"600","Gm15604"
"601","Csnk2a1-ps3"
"602","Mrto4-ps1"
"603","Reep6"
"604","H2ac19"
"605","Gm16129"
"606","Gm3912"
"607","Gtf2ird2"
"608","Gm6746"
"609","Olfr1273-ps"
"610","Gm17834"
"611","Olfr825"
"612","Olfr1200"
"613","Cks1brt"
"614","Sirpb1b"
"615","Gm7413"
"616","Rps18-ps5"
"617","9430025C20Rik"
"618","Olfr566"
"619","Gm14324"
"620","Gm35549"
"621","Olfr1196"
"622","Zfp873"
"623","Gm4332"
"624","Gm5127"
"625","Gm1110"
"626","Cst3"
"627","Olfr732"
"628","3110070M22Rik"
"629","Gm4468"
"630","9530050K03Rik"
"631","Gm12331"
"632","Gm14566"
"633","Mug1"
"634","Gm47495"
"635","Gm13130"
"636","Gm15946"
"637","Vmn2r16"
"638","Gm10642"
"639","Gm18024"
"640","Gm9006"
"641","1700020L13Rik"
"642","Xndc1"
"643","Bhlhb9"
"644","Gm2869"
"645","Olfr642"
"646","Gm16505"
"647","Gm5053"
"648","Gm4791"
"649","Scd4"
"650","Vmn1r224"
"651","6720489N17Rik"
"652","Gm5157"
"653","Gm39566"
"654","Gm21034"
"655","Gm48943"
"656","Gm49963"
"657","Fdxr"
"658","Zfp992"
"659","Casp4"
"660","I0C0044D17Rik"
"661","Prdx2-ps1"
"662","Gm49530"
"663","Serpinb9h"
"664","Hmgn2"
"665","Gm2961"
"666","Gm11585"
"667","Gm49274"
"668","Gm48040"
"669","Siglece"
"670","Zfp780b"
"671","Gm44248"
"672","Gm49355"
"673","Tbl1x"
"674","Rpl30-ps11"
"675","Zfp974"
"676","Gm47616"
"677","Gm11662"
"678","Gm48663"
"679","Gm9774"
"680","Gm12191"
"681","Gm15066"
"682","Gm7432"
"683","Gm9972"
"684","Gm48587"
"685","Gm45739"
"686","Olfr57"
"687","H2af-ps2"
"688","Olfr183"
"689","Olfr1181"
"690","Gm53057"
"691","Gm12201"
"692","Olfr1410"
"693","Olfr381"
"694","Rps4l"
"695","Gm17791"
"696","Mrpl48-ps"
"697","Tspyl3"
"698","Gpx4-ps2"
"699","Gm11952"
"700","Gm9633"
"701","Gm48979"
"702","Naa12"
"703","Nlrp5-ps"
"704","Eif5al3-ps"
"705","Slc6a20a"
"706","Gm29761"
"707","Ptma-ps1"
"708","Olfr191"
"709","Dnmt3b"
"710","Gm15599"
"711","Spcs3"
"712","Gm9435"
"713","Vmn1r211"
"714","Gm4739"
"715","Zfp990"
"716","Mrto4-ps2"
"717","Olfr1009"
"718","1700016D06Rik"
"719","Olfr1109"
"720","Krt83"
"721","Cd200r3"
"722","Gm15071"
"723","Gm44629"
"724","Olfr1489"
"725","Gm12341"
"726","Gm14631"
"727","Sp110"
"728","Gm8349"
"729","Gm18760"
"730","Olfr506"
"731","Fads2b"
"732","Gm4940"
"733","Rpap3-ps2"
"734","Rpl22l1"
"735","Olfr312"
"736","Gm48255"
"737","Fam169b"
"738","Gm5270"
"739","Gm7331"
"740","Sp140"
"741","Zfp87"
"742","Gm48331"
"743","Gm47951"
"744","Zfp35"
"745","Entpd4b"
"746","Oasl2"
"747","Vmn1r71"
"748","Eif1"
"749","Gm20136"
"750","Rpl31-ps9"
"751","Gm7299"
"752","Zfp710"
"753","Gm10293"
"754","Xlr3b"
"755","Gm43060"
"756","Vmn2r-ps7"
"757","Vhl"
"758","Gm9732"
"759","Vmn1r193"
"760","Gm48407"
"761","Gm8451"
"762","Vmn2r-ps105"
"763","Vmn2r-ps9"
"764","Gm48244"
"765","Gm20521"
"766","Adrm1"
"767","Ak4"
"768","Gm11805"
"769","Gm5890"
"770","Gm6133"
"771","Psmb5-ps"
"772","Acot9"
"773","Ube2s"
"774","Gm15500"
"775","4933415A04Rik"
"776","Ggta1"
"777","Gm14391"
"778","2810021J22Rik"
"779","Gtpbp4-ps2"
"780","Olfr789"
"781","Gm12034"
"782","Gm10040"
"783","Olfr73"
"784","Gm14741"
"785","Olfr147"
"786","Gm6983"
"787","Igkv19-93"
"788","Klrb1f"
"789","1700057G04Rik"
"790","Gm18169"
"791","B230217C12Rik"
"792","Rnf7"
"793","Catsperg2"
"794","Gm19000"
"795","Gm12918"
"796","Gm43985"
"797","Acaa1b"
"798","Gm37102"
"799","Olfr906"
"800","Fhl1"
"801","Gm14822"
"802","Gm11346"
"803","Gm16419"
"804","Gm43712"
"805","Gm7108"
"806","Entpd4"
"807","Gm14524"
"808","Rdh7"
"809","Gm26992"
"810","Olfr1285"
"811","Gm8649"
"812","Usp17la"
"813","Gm48177"
"814","Vmn2r111"
"815","Mt2"
"816","Pramel3"
"817","Rbmxl1"
"818","Gm5320"
"819","Gm5173"
"820","Zfp930"
"821","Olfr1150-ps1"
"822","Rpl18a"
"823","Gm8101"
"824","Slfn4"
"825","Mrgprc7-ps"
"826","Olfr1120"
"827","Rpl9-ps4"
"828","Rtl8b"
"829","Gm7720"
"830","Gm17117"
"831","Gm47933"
"832","Rdh1"
"833","Pwwp4a"
"834","Gstm1"
"835","Olfr656"
"836","Olfr160"
"837","Gm21093"
"838","Rpl37"
"839","Gm18194"
"840","Gm10693"
"841","Rpl21-ps3"
"842","Olfr1138"
"843","Gm14914"
"844","Rpl10a-ps2"
"845","Gm4631"
"846","Gm49183"
"847","Gm10689"
"848","Cetn4"
"849","Acot2"
"850","Gm6136"
"851","Gm10053"
"852","Gm8661"
"853","Mif-ps4"
"854","Rpl18-ps1"
"855","Sirpb1c"
"856","Vmn2r107"
"857","Olfr697"
"858","Gm16223"
"859","Dynlt1c"
"860","Rps8-ps1"
"861","Olfr143"
"862","Akr1b10"
"863","Olfr701"
"864","Olfr1116"
"865","Gm16523"
"866","Doc2g"
"867","Gm29105"
"868","Gm9214"
"869","Zfp747"
"870","4930431P19Rik"
"871","Zfp26"
"872","Rps8-ps5"
"873","Oas1g"
"874","Gm14201"
"875","Gm9195"
"876","Rpl10a-ps4"
"877","Gm15881"
"878","Rpl13-ps6"
"879","Gm42718"
"880","Gm17823"
"881","Gm15590"
"882","Gm43941"
"883","Gm8865"
"884","Rpl35"
"885","Gm14138"
"886","Ndufs5-ps"
"887","Rpl31"
"888","Gm42561"
"889","Egfem1"
"890","Gm15719"
"891","Gm14267"
"892","Trdv2-2"
"893","Tubb4b-ps2"
"894","Gm12488"
"895","Atp5g1"
"896","Smim6"
"897","Gm49430"
"898","Gm5697"
"899","Khdc1b"
"900","Olfr432"
"901","Selenbp1"
"902","AY074887"
"903","Gm49059"
"904","Atp5l2-ps"
"905","Pbld2"
"906","Gm9516"
"907","Gm9318"
"908","Olfr676"
"909","Gm16581"
"910","Ier3ip1"
"911","Gm42814"
"912","Idi1-ps4"
"913","Gm47628"
"914","Vmn2r55"
"915","AV320801"
"916","Gm15023"
"917","Nat8f6"
"918","Gm12959"
"919","Gm10490"
"920","Gm43524"
"921","Hmgb1"
"922","Olfr1369-ps1"
"923","Olfr1238"
"924","Gm14419"
"925","Pebp1"
"926","0610009B22Rik"
"927","Gm11808"
"928","Gm5281"
"929","Vmn1r202"
"930","Gm21961"
"931","Gm13306"
"932","Gm15002"
"933","Gm14227"
"934","Ccr2"
"935","H4c4"
"936","Gm11242"
"937","Nsun4"
"938","Glud1"
"939","Rpl21"
"940","Gm47553"
"941","Scd3"
"942","Olfr1471"
"943","Ulbp1"
"944","Gm10120"
"945","Vmn2r99"
"946","Gm5605"
"947","Gm35262"
"948","Gm17709"
"949","Thoc2l"
"950","Gm12479"
"951","Ifi208"
"952","Vmn1r184"
"953","Ifi203"
"954","Rnaset2a"
"955","Rpl30-ps9"
"956","Gm6227"
"957","Gm5421"
"958","Gm19969"
"959","Vmn2r57"
"960","Gm43802"
"961","Rpsa-ps10"
"962","Gm2564"
"963","Slc25a5-ps"
"964","Gm49219"
"965","Gm10643"
"966","Gm815"
"967","Gm18289"
"968","Vmn2r120"
"969","Vmn2r60"
"970","Adgrf2"
"971","Gm21596"
"972","Olfr1191-ps1"
"973","Ccdc163"
"974","Gm11218"
"975","Gm10563"
"976","Zfp954"
"977","Apol7e"
"978","Gm20594"
"979","Gm9958"
"980","Vmn1r66"
"981","Cnbp"
"982","Rhox7b"
"983","Vcp-rs"
"984","Nlrp4e"
"985","Gm16026"
"986","Gm4708"
"987","Slco1a6"
"988","Cxcl3"
"989","Gm48549"
"990","Ckmt1"
"991","Mrgprx1"
"992","Vmn2r59"
"993","Gm7207"
"994","Cdk2ap1"
"995","Gm14542"
"996","Ccl25"
"997","Atg4a-ps"
"998","AF366264"
"999","Olfr352"
"1000","Vmn1r215"
"1001","Olfr1167"
"1002","Gm14443"
"1003","Gm12947"
"1004","Rfpl4"
"1005","Gm17887"
"1006","Gm7730"
"1007","Gm4545"
"1008","Olfr851"
"1009","Vmn1r81"
"1010","Gm18719"
"1011","Gm12856"
"1012","Olfr1129"
"1013","Gm6969"
"1014","Vmn1r172"
"1015","Gm13857"
"1016","Gm10499"
"1017","Gm42845"
"1018","Cts8-ps"
"1019","Gm4945"
"1020","Zfp951"
"1021","Gm50006"
"1022","Csn1s2a"
"1023","Rps17-ps1"
"1024","Gm9472"
"1025","Gm13586"
"1026","Gm43158"
"1027","Cyp4f41-ps"
"1028","Gm15620"
"1029","Gm9630"
"1030","H4c9"
"1031","Gm13378"
"1032","Slc22a13b"
"1033","Gm36128"
"1034","Zfp972"
"1035","Gm10134"
"1036","Olfr165"
"1037","Gm6480"
"1038","Prss59"
"1039","Gm15481"
"1040","Opn1mw"
"1041","Olfr901"
"1042","Zfp429"
"1043","Zfp950"
"1044","Csta1"
"1045","Gm12919"
"1046","Gm49011"
"1047","Olfr418"
"1048","Timm23"
"1049","Olfr133"
"1050","Gm45473"
"1051","Cyp2j5"
"1052","Vmn2r6"
"1053","Rpl31-ps14"
"1054","Srsf2"
"1055","Timd2"
"1056","Gm12109"
"1057","H2-M5"
"1058","Vmn1r90"
"1059","Gm12778"
"1060","3300002I08Rik"
"1061","Hspa1b"
"1062","Olfr1205"
"1063","Dgcr6"
"1064","Vmn1r89"
"1065","Igsf5"
"1066","Gm18384"
"1067","Gm10439"
"1068","Olfr102"
"1069","Vmn2r-ps117"
"1070","Olfr1218"
"1071","Gm15807"
"1072","Gm15302"
"1073","Vwa5a"
"1074","Rpl18"
"1075","Gm5373"
"1076","Gm5624"
"1077","Gm49930"
"1078","Gm7324"
"1079","2810039B14Rik"
"1080","Olfr635"
"1081","Olfr1233"
"1082","E430018J23Rik"
"1083","Gm14988"
"1084","Cstdc4"
"1085","Gm15026"
"1086","Olfr1204"
"1087","Gm45750"
"1088","Olfr1185-ps1"
"1089","Gm48368"
"1090","Zfp868"
"1091","Olfr912"
"1092","Gm4557"
"1093","Gm4478"
"1094","Gm5075"
"1095","Vmn1r181"
"1096","Cyp4a29"
"1097","C1ra"
"1098","Gm15580"
