"","c..Gm5637....Gm6024....Gm5385....Rpl9.ps6....Frg2f1....Gbp8..."
"1280","Tha1"
"1281","Rps3a2"
"1282","Gm31328"
"1283","Gm12607"
"1284","Gm37770"
"1285","Gm19932"
"1286","Zfp65"
"1287","Ifit1"
"1288","Gm5230"
"1289","Gm47355"
"1290","Gm45268"
"1291","Gm21188"
"1292","Gm6680"
"1293","Fam220a"
"1294","Art2b"
"1295","Gm11898"
"1296","Trim41"
"1297","Gm15901"
"1298","Fxyd5"
"1299","1700084M14Rik"
"1300","Psmb6-ps2"
"1301","Gm15739"
"1302","Gm7618"
"1303","Gm47570"
"1304","Il11ra1"
"1305","Msx3"
"1306","Hcar2"
"1307","Olfr671"
"1308","Bod1"
"1309","Olfr775"
"1310","Gm7891"
"1311","Ugt1a7c"
"1312","H3c7"
"1313","Vmn2r105"
"1314","Gm47556"
"1315","Fcor"
"1316","Gm8566"
"1317","Ndufa12-ps"
"1318","Gon7"
"1319","Gm43247"
"1320","Gm48541"
"1321","Gm18410"
"1322","Rpl31-ps8"
"1323","Ubb-ps"
"1324","Alyref"
"1325","Gm13094"
"1326","Gm48501"
"1327","Gm7745"
"1328","Psg23"
"1329","Gm11637"
"1330","Gm7530"
"1331","Uba52"
"1332","Gm11027"
"1333","Olfr1122"
"1334","Vmn2r24"
"1335","Gm17132"
"1336","Cbr1"
"1337","Rps11-ps1"
"1338","Gm48119"
"1339","Slc22a19"
"1340","Olfr1385"
"1341","Gm21962"
"1342","Gm8956"
"1343","Olfr75-ps1"
"1344","Frat1"
"1345","Olfr859"
"1346","Vmn2r20"
"1347","Gm9341"
"1348","Gm8765"
"1349","Gm45665"
"1350","Gm42857"
"1351","Gm48670"
"1352","Zfp268"
"1353","Olfr1165-ps"
"1354","Olfr1440"
"1355","Gm48494"
"1356","4931406B18Rik"
"1357","Olfr898"
"1358","Vmn2r117"
"1359","Gm21750"
"1360","Olfr524"
"1361","Vmn2r124"
"1362","Gm47845"
"1363","9930111J21Rik2"
"1364","Gm11879"
"1365","Gm48216"
"1366","Olfr397"
"1367","Gm2387"
"1368","Notch4"
"1369","Gm37009"
"1370","Gm42669"
"1371","Olfr131"
"1372","Vmn2r108"
"1373","Gm48085"
"1374","Olfr63"
"1375","Olfr904"
"1376","Pyurf"
"1377","Zfp119a"
"1378","Gpr137b-ps"
"1379","Olfr1290"
"1380","Cmah"
"1381","Gm8878"
"1382","Gm18924"
"1383","Erdr1"
"1384","Gm11703"
"1385","Gm13803"
"1386","Vmn2r114"
"1387","Gmcl1"
"1388","Gm13615"
"1389","Gm30531"
"1390","Gm20379"
"1391","Gm49275"
"1392","Aox4"
"1393","Gm7389"
"1394","Ftl1-ps2"
"1395","Zfp738"
"1396","Gm48786"
"1397","Prl8a1"
"1398","Gm11951"
"1399","Vmn2r89"
"1400","Vmn2r1"
"1401","Gm3278"
"1402","Gm44578"
"1403","Gm18997"
"1404","Gm18529"
"1405","Hnrnpc"
"1406","Gm18185"
"1407","Gm15760"
"1408","Rpsa-ps5"
"1409","Gm49050"
"1410","Vmn2r76"
"1411","1700001K19Rik"
"1412","2610008E11Rik"
"1413","Dnajc8"
"1414","Gm49867"
"1415","Tmprss11g"
"1416","Gm5207"
"1417","Gm5915"
"1418","Olfr537-ps1"
"1419","Gm18258"
"1420","Gm9625"
"1421","Gm47147"
"1422","Olfr1123"
"1423","F830016B08Rik"
"1424","Bnip3l-ps"
"1425","Slfn9"
"1426","Gm10247"
"1427","Vmn2r79"
"1428","Gm6112"
"1429","Gm13776"
"1430","Olfr764-ps1"
"1431","Trim12a"
"1432","Gm7695"
"1433","Spop"
"1434","Vmn1r28"
"1435","Olfr752-ps1"
"1436","Tescl"
"1437","Rpl28-ps1"
"1438","Zfp81"
"1439","Klri2"
"1440","Gm45900"
"1441","Gm5820"
"1442","H4c8"
"1443","A530064D06Rik"
"1444","Bola2"
"1445","Gm18517"
"1446","Olfr1271"
"1447","Rps12-ps3"
"1448","Gm47154"
"1449","Gm6290"
"1450","Rpl27a-ps1"
"1451","Gm39147"
"1452","Tchp"
"1453","Gm13204"
"1454","Ifitm7"
"1455","Gm13680"
"1456","Gm11462"
"1457","Gm6954"
"1458","Clca4b"
"1459","Zfp493"
"1460","Zfp472"
"1461","Gm49645"
"1462","Gm17794"
"1463","Vmn2r88"
"1464","Shc2"
"1465","Scart2"
"1466","Serpinb1a"
"1467","Gm47331"
"1468","Gm5398"
"1469","Gm13722"
"1470","Gm10177"
"1471","Gm9803"
"1472","Gm17711"
"1473","Gm48145"
"1474","Olfr318"
"1475","Gm8643"
"1476","Rdh9"
"1477","Eif1ad15"
"1478","Gm48082"
"1479","Hba-a2"
"1480","Kpna2"
"1481","Ranbp2-ps1"
"1482","Zfp418"
"1483","Gm4149"
"1484","Gm43015"
"1485","Gm8557"
"1486","Olfr341"
"1487","Gm6909"
"1488","Gm13673"
"1489","Vmn2r113"
"1490","Vmn1r-ps73"
"1491","Mplkip"
"1492","Gm7646"
"1493","Gm10157"
"1494","Ddt"
"1495","Slx1b"
"1496","Rpl35a-ps5"
"1497","Gm4924"
"1498","Gm5292"
"1499","Gm9372"
"1500","Gm49298"
"1501","Gm28043"
"1502","Gm48418"
"1503","Gm16017"
"1504","Gm2066"
"1505","Olfr873"
"1506","Vmn1r26"
"1507","Gm46223"
"1508","Gm15568"
"1509","Klra9"
"1510","Vmn2r74"
"1511","Gm18713"
"1512","AW822252"
"1513","Gm7879"
"1514","Gm2756"
"1515","Vmn2r67"
"1516","Gm12013"
"1517","Olfr769"
"1518","Gm5987"
"1519","Vmn2r63"
"1520","Gm8054"
"1521","Olfr46"
"1522","Acot1"
"1523","Gm21778"
"1524","Crb1-ps"
"1525","Gm12966"
"1526","Psmb6-ps"
"1527","Gm12388"
"1528","Gm15455"
"1529","F8a"
"1530","Atp5l"
"1531","Olfr853"
"1532","Gm20518"
"1533","Tes3-ps"
"1534","Rasa4"
"1535","Kxd1"
"1536","Kiss1"
"1537","Cd59b"
"1538","Scd1"
"1539","Rpl29"
"1540","Gm8374"
"1541","Morc2a"
"1542","Zfp78"
"1543","Cfap97d2"
"1544","Rpl10-ps2"
"1545","Rpsa-ps9"
"1546","Gm4541"
"1547","Gm44402"
"1548","Fem1a"
"1549","Gm10288"
"1550","Gm21833"
"1551","Vmn1r197"
"1552","Gm14989"
"1553","Tcp10b"
"1554","Gm13445"
"1555","Pold3"
"1556","Gm5641"
"1557","Gm16415"
"1558","Gm4240"
"1559","Gm4853"
"1560","Ticam2"
"1561","Fcgr4"
"1562","Gm48132"
"1563","Gm45038"
"1564","Gm15304"
"1565","Gm29718"
"1566","Gm44715"
"1567","Gm15276"
"1568","Olfr1389"
"1569","Zfp300"
"1570","Gm6988"
"1571","Gm15190"
"1572","Clec2h"
"1573","Gm49395"
"1574","Olfr344"
"1575","Vmn1r12"
"1576","Gm47670"
"1577","Zfp775"
"1578","Rpl41"
"1579","Gm49044"
"1580","Gm6276"
"1581","Olfr1262"
"1582","Gm11483"
"1583","Olfr58"
"1584","Mill2"
"1585","Gm14632"
"1586","Gm10147"
"1587","Olfr407-ps1"
"1588","Olfr20"
"1589","Gm4812"
"1590","Rps12-ps9"
"1591","Gm11522"
"1592","Gm12439"
"1593","Vmn2r11"
"1594","Cyp4a14"
"1595","Ceacam1"
"1596","Gm6807"
"1597","Gm17555"
"1598","E030030I06Rik"
"1599","Gm7788"
"1600","Rpl30-ps6"
"1601","Gm4321"
"1602","Fam160b1"
"1603","Clca3a1"
"1604","Pcdhb21"
"1605","Gm3836"
"1606","Vmn1r229"
"1607","Gm32742"
"1608","Gm44705"
"1609","Vmn1r84"
"1610","Olfr893"
"1611","Gm9847"
"1612","Gm9696"
"1613","Gm45844"
"1614","Gm5715"
"1615","Fam160a2"
"1616","Gm8022"
"1617","Gm48774"
"1618","Gm5037"
"1619","Ltb4r1"
"1620","Cspg4b"
"1621","Gm47362"
"1622","Igkv4-73"
"1623","Lbhd2"
"1624","Gm13921"
"1625","Ighv2-6"
"1626","Igkv1-35"
"1627","Vmn1r46"
"1628","Olfr1247"
"1629","Eif1ad2"
"1630","Gm11531"
"1631","Gm9081"
"1632","Adh6-ps1"
"1633","Gm5096"
"1634","Pramel23"
"1635","Olfr1276"
"1636","Gm30534"
"1637","Gm15515"
"1638","Olfr487"
"1639","4933427G23Rik"
"1640","Olfr1106"
"1641","Dnah7c"
"1642","Gm4535"
"1643","Gm12689"
"1644","Olfr1042"
"1645","Eif5a"
"1646","Gm14336"
"1647","Gm6581"
"1648","Gm47967"
"1649","Gm16487"
"1650","Olfr259"
"1651","Gm12693"
"1652","Olfr1169-ps1"
"1653","Olfr661"
"1654","Vmn2r130"
"1655","Atad2"
"1656","H3c15"
"1657","Gm21992"
"1658","Olfr597"
"1659","Ms4a4b"
"1660","Zfp947"
"1661","Vmn1r216"
"1662","Amy2a5"
"1663","Fam160a1"
"1664","Vmn1r227"
"1665","5031410I06Rik"
"1666","Gm13292"
"1667","Gm7633"
"1668","Olfr107"
"1669","BC030500"
"1670","Clec2d"
"1671","Gm47612"
"1672","H2-T24"
"1673","Olfr1454"
"1674","Olfr839-ps1"
"1675","Gm6863"
"1676","Gm7247"
"1677","Olfr1378"
"1678","Zfp60"
"1679","Gm31306"
"1680","Olfr394"
"1681","Gm19202"
"1682","Fam72a"
"1683","Gm14044"
"1684","Ttc41"
"1685","Ddx19a"
"1686","Ccdc63"
"1687","Olfr1564"
"1688","Olfr961"
"1689","Gm13197"
"1690","Tmem30c"
"1691","Gm14049"
"1692","Vmn1r-ps135"
"1693","Vmn2r3"
"1694","Zfp933"
"1695","Gm7988"
"1696","Gm12529"
"1697","Gm11475"
"1698","Vmn1r29"
"1699","Gm38358"
"1700","Vmn1r174"
"1701","Olfr613"
"1702","4930465K10Rik"
"1703","Gm47842"
"1704","Dcdc5"
"1705","Gm3963"
"1706","Gm44984"
"1707","Ass-ps1"
"1708","Gm43214"
"1709","Gm6161"
"1710","Olfr351"
"1711","Gm14615"
"1712","Vmn1r76"
"1713","Psg25"
"1714","Gm8153"
"1715","Gm9008"
"1716","Obox8"
"1717","Olfr689"
"1718","Zfp68"
"1719","Gm3029"
"1720","Mfap1b"
"1721","Vmn1r209"
"1722","Gm14125"
"1723","Trim12c"
"1724","Gm48551"
"1725","Gm5345"
"1726","Gm20482"
"1727","Fam155a"
"1728","Gsta2"
"1729","Gm10916"
"1730","Ccz1"
"1731","Tmem181b-ps"
"1732","Gm15779"
"1733","Vmn2r77"
"1734","Gm47103"
"1735","Gm11878"
"1736","Gm11997"
"1737","Gm8292"
"1738","Vmn1r220"
"1739","Gm11271"
"1740","Gm15149"
"1741","2700099C18Rik"
"1742","Gm5766"
"1743","Gm11517"
"1744","Vmn2r116"
"1745","Rpl37rt"
"1746","Gm19232"
"1747","Catsperg1"
"1748","Zfp964"
"1749","Gm10647"
"1750","Gm49143"
"1751","Apol9a"
"1752","Rpl13a"
"1753","Gm47476"
"1754","Gm8896"
"1755","Col6a4"
"1756","Irgm1"
"1757","Olfr536"
"1758","Gm13349"
"1759","Pphln1"
"1760","Gm7180"
"1761","Olfr1265"
"1762","Gm5374"
"1763","Tmsb10"
"1764","Gk"
"1765","Gm10974"
"1766","Gm16259"
"1767","Gm6885"
"1768","1300017J02Rik"
"1769","Gm47968"
"1770","Gm20661"
"1771","Scp2-ps2"
"1772","Rpl28-ps2"
"1773","Gm48661"
"1774","Cdkn2a"
"1775","Gm4617"
"1776","Gm10420"
"1777","Morc2b"
"1778","Gm10720"
"1779","Gm47102"
"1780","Olfr1512"
"1781","Gm10172"
"1782","Rpl19-ps9"
"1783","Cts6"
"1784","Smn1"
"1785","Olfr667"
"1786","Tcl1b3"
"1787","Gm5108"
"1788","Sfta2"
"1789","Hsd3b2"
"1790","Stk-ps2"
"1791","3110053B16Rik"
"1792","Vmn2r110"
"1793","Gm48499"
"1794","Sectm1a"
"1795","Gsdmcl2"
"1796","Vmn2r-ps4"
"1797","Lrmp"
"1798","Gm49273"
"1799","Wbp11"
"1800","Rps27a-ps3"
"1801","Vmn2r69"
"1802","Aadacl2fm1"
"1803","Gm10718"
"1804","Gm49327"
"1805","Zfp949"
"1806","A630010A05Rik"
"1807","Syt15"
"1808","Gm49093"
"1809","D9Wsu149"
"1810","Gm8832"
"1811","Olfr920"
"1812","Gm6218"
"1813","Dcaf12l1"
"1814","H2-Q2"
"1815","Gm6441"
"1816","Bmp8b"
"1817","Olfr1202"
"1818","Skint8"
"1819","Gsdma"
"1820","Cmtm2a"
"1821","Gm5475"
"1822","Peg12"
"1823","Ighv2-9"
"1824","Clca3a2"
"1825","Gm7172"
"1826","Myh4"
"1827","Gm7653"
"1828","Olfr1322"
"1829","Gm46388"
"1830","9130023H24Rik"
"1831","Olfr403"
"1832","Gm20768"
"1833","A330044P14Rik"
"1834","Zfp273"
"1835","Gm20767"
"1836","Gm6344"
"1837","Gm45574"
"1838","Vmn2r7"
"1839","Vmn2r53"
"1840","Ces2f"
"1841","Gm11736"
"1842","Btnl10"
"1843","Olfr117"
"1844","Gm16138"
"1845","Gm14667"
"1846","Zscan5b"
"1847","Gm36758"
"1848","Adam3"
"1849","Rplp2"
"1850","Zfp979"
"1851","Gm9560"
"1852","Gm12591"
"1853","Gm10912"
"1854","Olfr1096"
"1855","Olfr1249"
"1856","Cd8b1"
"1857","Gm45147"
"1858","Gm6866"
"1859","Gm6139"
"1860","Aph1b"
"1861","Ly6m"
"1862","Tnfrsf10b"
"1863","Gm9985"
"1864","Gm45893"
"1865","Vmn1r6"
"1866","Olfr1162"
"1867","Mt3"
"1868","Olfr639"
"1869","Gm43905"
"1870","Gm12442"
"1871","Rnf181"
"1872","Gm49331"
"1873","Orm2"
"1874","Olfr1107"
"1875","1700029F12Rik"
"1876","Rps12-ps20"
"1877","Dcun1d1"
"1878","Clec2i"
"1879","Gm4779"
"1880","Gm48360"
"1881","Bet1"
"1882","Gm4366"
"1883","Nnat"
"1884","Cyct"
"1885","Gm43043"
"1886","Gm5742"
"1887","Mettl2"
"1888","Vmn2r18"
"1889","Olfr313"
"1890","Rpl17-ps9"
"1891","Olfr365"
"1892","Rpl31-ps16"
"1893","Dynlt1f"
"1894","Ctsl"
"1895","Olfr974"
"1896","Gm28362"
"1897","Gm16430"
"1898","Gm16405"
"1899","A630073D07Rik"
"1900","Olfr605"
"1901","Rbmxl2"
"1902","Olfr1336"
"1903","Olfr1118"
"1904","Gm18451"
"1905","Gm28419"
"1906","Gm15823"
"1907","Gm14274"
"1908","Gm10080"
"1909","Setd1a"
"1910","Gm10715"
"1911","1700028J19Rik"
"1912","Gm17334"
"1913","Ighv2-4"
"1914","Eif3s6-ps3"
"1915","Olfr243"
"1916","Ube2l3"
"1917","Gm21897"
"1918","Krt90"
"1919","Olfr54"
"1920","Gm8818"
"1921","Gm11539"
"1922","Gm13529"
"1923","Gm6109"
"1924","Cmc2"
"1925","Siglech"
"1926","Vmn1r198"
"1927","Gm17241"
"1928","Rpl9-ps2"
"1929","Ccr5"
"1930","Gm13215"
"1931","Gm7536"
"1932","Trav9-1"
"1933","Rpl34-ps1"
"1934","Gm15821"
"1935","Gbp2"
"1936","Prorsd1"
"1937","Olfr1295"
"1938","Olfr988"
"1939","Klra4"
"1940","Gm12253"
"1941","Eif1ad6"
"1942","Cts8"
"1943","Gm4834"
"1944","Zfp940"
"1945","Mapk1ip1l"
"1946","Gm43498"
"1947","Slfn2"
"1948","Rpsa"
"1949","C730034F03Rik"
"1950","Gm3800"
"1951","Vmn2r28"
"1952","Gm8974"
"1953","Slc5a4b"
"1954","Gm8242"
"1955","Teddm3"
"1956","Olfr1124"
"1957","Gstm2"
"1958","Gm14017"
"1959","Gm47283"
"1960","Olfr1198"
"1961","Rpl19-ps5"
"1962","Gm37515"
"1963","Gm47853"
"1964","Cyp2t4"
"1965","Gm7501"
"1966","Gm10036"
"1967","Ces1e"
"1968","Olfr699"
"1969","Gm8401"
"1970","Gm5356"
"1971","Sycp1-ps1"
"1972","Gm43384"
"1973","Gm6588"
"1974","Ppp1r2"
"1975","Krt8-ps"
"1976","Gm47632"
"1977","Gm16200"
"1978","Vmn1r-ps23"
"1979","Ermard"
"1980","Septin2"
"1981","Gm10097"
"1982","Olfr324"
"1983","Gm12184"
"1984","Gm17841"
"1985","Gm21037"
"1986","Spag6"
"1987","Rasl2-9"
"1988","Uqcrh"
"1989","Gm42785"
"1990","Nxf7"
"1991","Rhox8"
"1992","Gm14979"
"1993","Olfr921"
"1994","Gm49716"
"1995","Olfr620"
"1996","Gm9974"
"1997","Gm20826"
"1998","Bpifb5"
"1999","Adam5"
"2000","Gm45856"
"2001","Gm48498"
"2002","Tnfrsf22"
"2003","Vmn1r-ps63"
"2004","Sgo2a"
"2005","Gpr165"
"2006","Gm5142"
"2007","Vmn2r2"
"2008","2610021A01Rik"
"2009","Olfr157"
"2010","Rpl23a-ps1"
"2011","B230303A05Rik"
"2012","Olfr1416"
"2013","Gm13183"
"2014","C920009B18Rik"
"2015","Gm16061"
"2016","Gm6542"
"2017","Gm2974"
"2018","Olfr1087"
"2019","Gm13135"
"2020","Tnfrsf14"
"2021","Pirb"
"2022","Gm13047"
"2023","Gm5776"
"2024","Vmn1r18"
"2025","Hspe1-ps5"
"2026","Vmn2r65"
"2027","Olfr970"
"2028","Cyp2d9"
"2029","Tnfrsf12a"
"2030","Olfr1313"
"2031","Gm48117"
"2032","Tmem189"
"2033","Reg2"
"2034","Btf3-ps2"
"2035","Rpl9-ps1"
"2036","Gm19026"
"2037","Ighv1-26"
"2038","Plscr2"
"2039","Gm2333"
"2040","Agtr1a"
"2041","Rpl21-ps6"
"2042","Gm12791"
"2043","Gm11282"
"2044","2410002F23Rik"
"2045","Gm28906"
"2046","Gm12892"
"2047","C1qtnf9"
"2048","Ercc6l2"
"2049","Gm12466"
"2050","Gm13036"
"2051","Xlr3a"
"2052","Olfr1291-ps1"
"2053","Tpt1-ps5"
"2054","Vmn2r-ps102"
"2055","Gm9877"
"2056","H2-T10"
"2057","Gm10800"
"2058","Olfr177"
"2059","Gpalpp1"
"2060","Gm14787"
"2061","Vmn1r87"
"2062","Olfr1340"
"2063","Tnfrsf26"
"2064","Gm9210"
"2065","Olfr628"
"2066","Olfr803"
"2067","Pramel34"
"2068","Psme2"
"2069","Cyp2d37-ps"
"2070","Pfn5"
"2071","Cyp3a11"
"2072","Gm18890"
"2073","Gm21147"
"2074","Rpsa-ps4"
"2075","Gucy1b2"
"2076","Gm13777"
"2077","Gbp3"
"2078","Higd2a"
"2079","Gm13464"
"2080","Gm21092"
"2081","Taf7l2"
"2082","Olfr1316"
"2083","Gm10275"
"2084","Gm16265"
"2085","Olfr681"
"2086","Ccdc144b"
"2087","Mrgprb7-ps"
"2088","Olfr1220"
"2089","Gm14849"
"2090","Ldhb-ps"
"2091","Gm18252"
"2092","Gm10471"
"2093","Olfr316"
"2094","Xlr4b"
"2095","Dynlt2a1"
"2096","Nlrp9c"
"2097","BC048403"
"2098","Cldn22"
"2099","1700028B04Rik"
"2100","Gm48806"
"2101","Olfr484"
"2102","Gm906"
"2103","Nomo1"
"2104","Tm9sf5"
"2105","Gm2420"
"2106","Vmn1r83"
"2107","Lgalsl"
"2108","Gm7842"
"2109","Olfr532"
"2110","Defa-ps5"
"2111","Vmn2r115"
"2112","Igkv17-127"
"2113","Gm4986"
"2114","Olfr338"
"2115","Gm21988"
"2116","Rps19-ps6"
"2117","Gm5768"
"2118","Olfr679"
"2119","Vmn2r68"
"2120","Rdh16"
"2121","Gm18025"
"2122","Gm28594"
"2123","Gm13535"
"2124","1700069L16Rik"
"2125","Gm49146"
"2126","Gm48141"
"2127","Trbv20"
"2128","Olfr1152"
"2129","Zfp773"
"2130","Gm13305"
"2131","Chil5"
"2132","Gm7252"
"2133","Gm37445"
"2134","Gm8556"
"2135","Vmn1r1"
"2136","Gm19596"
"2137","Zfp229"
"2138","Gm9964"
"2139","Gm48976"
"2140","Degs1"
"2141","Olfr311"
"2142","Olfr509"
"2143","Gm47932"
"2144","Dcaf8l"
"2145","Gm47803"
"2146","Trp53rkb"
"2147","Gm9059"
"2148","Olfr715b"
"2149","Obox3-ps4"
"2150","Gm47816"
"2151","H2-Q4"
"2152","Slc28a2b"
"2153","Gm13230"
"2154","Gm12308"
"2155","Gm4833"
"2156","Olfr887"
"2157","Olfr1217"
"2158","Gm28042"
"2159","Gm14165"
"2160","Gm49683"
"2161","Ly6f"
"2162","Olfr1161"
"2163","Gm7378"
"2164","Col9a3"
"2165","Olfr804"
"2166","Gm14308"
"2167","Isoc2a"
"2168","Gm5121"
"2169","Gm12573"
"2170","Vmn2r44"
"2171","Olfr1437"
"2172","Gm10719"
"2173","Slco1a4"
"2174","Gm28911"
"2175","Rps27rt"
"2176","Tvp23b"
"2177","Gm15215"
"2178","Cycs-ps2"
"2179","Gm10136"
"2180","Gm8449"
"2181","Hnrnpa3"
"2182","Gm49361"
"2183","Saa3"
"2184","Trac"
"2185","Olfr734"
"2186","Gm47356"
"2187","Gm9794"
"2188","Ifi204"
"2189","Gm10203"
"2190","Gm17571"
"2191","Rps15-ps2"
"2192","Olfr740"
"2193","Vmn1r47"
"2194","Olfr1277"
"2195","Gm49184"
"2196","Gm5403"
"2197","Gm8000"
"2198","Gm14745"
"2199","Olfr1284"
"2200","Olfr1195"
"2201","Chchd2-ps"
"2202","Ccdc50-ps"
"2203","Rpl32l"
"2204","Gm9246"
"2205","Gm47964"
"2206","Gm3076"
"2207","4933409K07Rik"
"2208","Rpl36-ps12"
"2209","Gm13828"
"2210","Igkv4-77"
"2211","Rpsa-ps12"
"2212","C1s2"
"2213","Gm15950"
"2214","Tpt1-ps7"
"2215","Olfr867"
"2216","A930033H14Rik"
"2217","Gm3724"
"2218","Gm7429"
"2219","E230025N22Rik"
"2220","Olfr1303"
"2221","Lilr4b"
"2222","Olfr127"
"2223","Gm17994"
"2224","4932414N04Rik"
"2225","Gm14237"
"2226","Olfr49"
"2227","Gm20942"
"2228","Phxr2"
"2229","Olfr126"
"2230","Gm43615"
"2231","Cyp2a5"
"2232","Gm49368"
"2233","Gm18294"
"2234","Gm7102"
"2235","4930474N05Rik"
"2236","Gm12394"
"2237","Gm14686"
"2238","5430401F13Rik"
"2239","Gm8839"
"2240","Olfr167"
"2241","Gm47655"
"2242","Olfr741"
"2243","Oog4"
"2244","Gm21671"
"2245","Gm8234"
"2246","Sult1a1"
"2247","Ces1g"
"2248","Oosp3"
"2249","Vmn2r75"
"2250","Gm6815"
"2251","Gm17940"
"2252","Gm6704"
"2253","C330022B21Rik"
"2254","4930548H24Rik"
"2255","Gm5136"
"2256","Rplp0-ps1"
"2257","Gm45492"
"2258","Olfr925-ps1"
"2259","Gm13525"
"2260","H2-DMb2"
"2261","AW011738"
"2262","Acte1"
"2263","Gm50115"
"2264","Gm49629"
"2265","Olfr1023"
"2266","Gm45319"
"2267","Olfr1278"
"2268","Tmem167b"
"2269","Gstp2"
"2270","Gm9945"
"2271","Zfp101"
"2272","Rpl9"
"2273","Gm10491"
"2274","Cxcl15"
"2275","Olfr1305"
"2276","Sult2a8"
"2277","Rpl31-ps17"
"2278","Gm12846"
"2279","Gm45716"
"2280","Gm5218"
"2281","Prodh"
"2282","Gm14270"
"2283","Fbxw19"
"2284","Gm2810"
"2285","Gstt3"
"2286","Rpl36a-ps2"
"2287","Ighv2-5"
"2288","Gm19016"
"2289","Gm14226"
"2290","Gm28557"
"2291","A630001G21Rik"
"2292","Gm6533"
"2293","Faim"
"2294","Gm5512"
"2295","Gm45299"
"2296","Olfr291"
"2297","Stard9"
"2298","Tmem265"
"2299","Gm14231"
"2300","Gm20637"
"2301","Tmem274"
"2302","Olfr1402"
"2303","Olfr373"
"2304","Gm37601"
"2305","Gm11510"
"2306","Rpl5-ps2"
"2307","Gm18909"
"2308","Gm8041"
"2309","Hmgb1-ps5"
"2310","Rps10-ps3"
"2311","Gm9817"
"2312","Gm11032"
"2313","Ube2d-ps"
"2314","Zfp939"
"2315","Gm17420"
"2316","Gm4884"
"2317","Gm29689"
"2318","Rps13-ps6"
"2319","Gm270"
"2320","Gm13182"
"2321","Zfp970"
"2322","Olfr45"
"2323","Gm47057"
"2324","Gm12944"
"2325","Gm10807"
"2326","Kctd12b"
"2327","Cutal"
"2328","Gm5703"
"2329","Zfp984"
"2330","Tpbpa"
"2331","Gm9598"
"2332","Gm8692"
"2333","Olfr1219"
"2334","Gm14172"
"2335","Gm43155"
"2336","Gm3532"
"2337","Gm2000"
"2338","Gm14036"
"2339","Gm37187"
"2340","Gm45799"
"2341","Zfp799"
"2342","Zfp783"
"2343","Vmn2r94"
"2344","Gm46996"
"2345","Gm9403"
"2346","H2-Q5"
"2347","Eif2s3x"
"2348","Olfr250"
"2349","Gm5855"
"2350","Gm20386"
"2351","Olfr709-ps1"
"2352","Gm10046"
"2353","Gm9687"
"2354","Phf11c"
"2355","Olfr1383"
"2356","Gm9130"
"2357","Gm47985"
"2358","Vmn1r9"
"2359","Olfr1257"
"2360","Vmn2r112"
"2361","Polr3g"
"2362","Gm9129"
"2363","Prl2c5"
"2364","Orm3"
"2365","Rpl31-ps15"
"2366","Gm43554"
"2367","Gm9432"
"2368","Gm35315"
"2369","Gvin-ps7"
"2370","Gm16478"
"2371","Nutf2-ps1"
"2372","Rpl28-ps3"
"2373","Gm7496"
"2374","Fsip2l"
"2375","Vmn1r-ps128"
"2376","Gm15459"
"2377","BC107364"
"2378","Gm17796"
"2379","Olfr348"
"2380","Wfdc6a"
"2381","Pramel51"
"2382","Olfr731"
"2383","Gm5221"
"2384","Gm46369"
"2385","Olfr624"
"2386","Gm18242"
"2387","Rbm8a2"
"2388","Gm5256"
"2389","Rps6-ps1"
"2390","Olfr525"
"2391","Gm20517"
"2392","Trav4-1"
"2393","Gm10277"
"2394","Gm30285"
"2395","Mrgprc2-ps"
"2396","Zfp959"
"2397","Slco6b1"
"2398","Rpl36-ps9"
"2399","Ces2b"
"2400","Gm35339"
"2401","Gm21358"
"2402","Vmn1r39"
"2403","Gm7183"
"2404","Uox"
"2405","Rps24-ps3"
"2406","Gm2033"
"2407","Acot3"
"2408","Gm14878"
"2409","Zfp599"
"2410","Vmn2r-ps20"
"2411","Gm11168"
"2412","Zfp991"
"2413","Dsg1b"
"2414","Abca14"
"2415","Speer3"
"2416","Gm45549"
"2417","Gm12666"
"2418","Zfp932"
"2419","Mif-ps10"
"2420","Ftl1-ps1"
"2421","Gm6616"
"2422","Gm14335"
"2423","Gm13255"
"2424","Slfn8"
"2425","Gm16148"
"2426","Gm8731"
"2427","Gm5559"
"2428","Rpl36-ps7"
"2429","Gm21050"
"2430","Gm48260"
"2431","Gm8826"
"2432","Gm12269"
"2433","Gm6064"
"2434","Rdh16f1"
"2435","Fpr2"
"2436","Gm21977"
"2437","Casp1"
"2438","Wdr95"
"2439","Dppa3-ps"
"2440","Hyal6"
"2441","Dnaaf8"
"2442","Zfp960"
"2443","Tcam1"
"2444","Gm5934"
"2445","Gm32376"
"2446","Gm5741"
"2447","Gm14510"
"2448","Gm3476"
"2449","H2bc23"
"2450","Gm15193"
"2451","Zfp663"
"2452","Slc25a51"
"2453","Tmem198b"
"2454","Gm17229"
"2455","Olfr1459"
"2456","Slc25a5"
"2457","Gm16300"
"2458","Gm10217"
"2459","Olfr1012"
"2460","Rpl7a-ps12"
"2461","Olfr30"
"2462","Olfr1372-ps1"
"2463","Gm11575"
"2464","Olfr1160"
"2465","Vmn2r52"
"2466","Gm20589"
"2467","Gm6578"
"2468","Gm44023"
"2469","Olfr802"
"2470","Gm14740"
"2471","Gm18139"
"2472","Olfr479"
"2473","Gm19087"
"2474","Gm12757"
"2475","Gm13633"
