genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Fzd5,3.918668836,-3.48274723,2.258803795,-1.541854692,0.123108908,NA
Nf1,83.46532832,-0.842214339,0.546484935,-1.541148319,0.123280692,0.643425947
Slc4a4,136.4750265,-1.377638632,0.893915589,-1.541128322,0.123285558,0.643425947
Wdr83os,59.96310298,2.393993092,1.553480269,1.541051496,0.123304253,0.643425947
Nme3,179.594158,1.637374308,1.062863993,1.540530415,0.123431115,0.643733754
Kdm3a,21.25467408,1.441555234,0.935848595,1.540372281,0.123469634,0.643733754
Zfp318,41.9583143,1.156731401,0.751120902,1.540006939,0.123558662,0.643920487
Wdr36,52.30534135,-1.192239707,0.774402607,-1.539560554,0.123667507,0.644168327
Gm8885,22.6218174,-1.926122378,1.251236326,-1.539375366,0.123712684,0.644168327
Tstd1,4.749164485,-2.549095225,1.656418492,-1.538919806,0.123823875,NA
Tmem52,9.08625756,3.175863271,2.063987529,1.538702742,0.123876883,NA
Entpd6,125.2246862,1.072917884,0.697306647,1.538660055,0.123887309,0.644634013
Ski,53.52181676,-1.040271503,0.676340946,-1.538087424,0.124027241,0.644634013
Ppp3cb,43.56773364,-1.405864432,0.914049438,-1.5380617,0.124033529,0.644634013
Grpel1,105.1859422,2.161369243,1.405471081,1.537825482,0.124091291,0.644634013
6330549D23Rik,6.721502673,3.193854564,2.076874368,1.537817893,0.124093147,NA
Epcam,58.79494925,1.167258818,0.75904445,1.537800348,0.124097439,0.644634013
Agrn,224.3063875,1.836928853,1.194594325,1.537700971,0.124121746,0.644634013
Gabrb1,9.31682774,-2.176575064,1.415953352,-1.537179922,0.124249256,NA
Col13a1,21.75659464,2.019625085,1.314048916,1.536948176,0.124306001,0.645278812
Shisa4,120.7043748,-1.564758861,1.018220645,-1.536758137,0.124352549,0.645278812
Inhba,9.909366162,-1.610312415,1.048015289,-1.536535231,0.124407164,NA
Swsap1,392.9208933,2.164559156,1.40895121,1.536291066,0.12446701,0.645433019
Mylk2,14.27440584,1.852793146,1.206082603,1.536207504,0.124487496,NA
Saal1,338.3070287,-1.407929206,0.916500277,-1.536201614,0.12448894,0.645433019
Mymk,8.75360966,3.610128086,2.350136431,1.536135536,0.124505142,NA
Rps13-ps2,127.7256263,4.510338328,2.936750879,1.535825991,0.124581063,0.645634025
Gm10045,20.5820964,2.446910623,1.594091072,1.534987973,0.124786782,0.646319235
Cox6c,264.4949231,0.946956434,0.617031399,1.53469732,0.124858195,0.646319235
Dusp28,15.8277477,-3.33413122,2.17263238,-1.534604405,0.12488103,0.646319235
Lancl3,11.53531762,-2.226887678,1.451118534,-1.534600811,0.124881913,NA
4930449A18Rik,61.78143506,2.029621328,1.322730643,1.534417713,0.124926923,0.646319235
Gm18829,10.92855125,-3.956217543,2.578439926,-1.53434544,0.124944692,NA
Scamp4,53.7019786,2.313602464,1.508261513,1.533953126,0.125041185,0.646633922
Prss55,8.744943848,-1.430537489,0.932646967,-1.533846718,0.125067367,NA
Scn7a,9.521814325,-2.718828606,1.772667934,-1.533749528,0.125091284,NA
Hmgxb3,56.77268296,-1.168936374,0.762672383,-1.532684807,0.125353534,0.647972285
Gm4275,88.66074801,1.749115959,1.141920461,1.531731867,0.125588615,0.64865613
Dab2,58.85129382,2.008774578,1.311583894,1.531563926,0.12563008,0.64865613
Lhfpl4,22.81683111,-1.025246702,0.669535811,-1.531279859,0.125700241,0.64865613
Cdc42se1,58.78506055,1.513847814,0.988616031,1.531279857,0.125700242,0.64865613
E2f5,10.06380082,2.0162882,1.316932301,1.531049241,0.125757223,NA
Zfp280b,15.54859481,-1.978990312,1.292811375,-1.530764929,0.1258275,0.648823659
Fam234a,742.4498429,1.15335537,0.753475116,1.530714611,0.125839941,0.648823659
Ift27,530.4733336,1.166075404,0.762087649,1.530106682,0.125990325,0.649313701
Nfatc2ip,14.64627266,-1.549620931,1.012798658,-1.530038491,0.126007202,NA
Gm48416,1623.153994,-0.811376036,0.530414016,-1.529703236,0.126090202,0.649313701
Kifc1,18.00113028,-1.821029298,1.190676686,-1.529407034,0.12616357,0.649313701
Gon4l,203.5888642,1.309866707,0.856736107,1.528903354,0.126288405,0.649313701
Cers6,50.21601081,-1.607861294,1.051695794,-1.52882735,0.12630725,0.649313701
Serf2,972.6745757,1.395095408,0.912560455,1.528770397,0.126321374,0.649313701
Mesd,76.91565157,1.56718887,1.025233335,1.528616771,0.126359476,0.649313701
Zxdc,161.0084513,-1.099936246,0.7197086,-1.528307771,0.126436141,0.649313701
Cep85,2388.120596,1.176055336,0.769560245,1.528217372,0.126458577,0.649313701
Slc29a3,517.9730685,1.36396027,0.892547745,1.528165051,0.126471564,0.649313701
Atad3a,45.02292809,1.537435652,1.006401454,1.527656429,0.126597863,0.649505628
DPCD,1181.024417,1.053310535,0.689527874,1.52758224,0.126616294,0.649505628
Lonp2,24.52460831,2.065712571,1.352646491,1.527163664,0.126720319,0.649649235
Vcan,14.48563093,-2.597679576,1.701266345,-1.526909401,0.126783541,NA
Cobl,27.22994515,-2.104095895,1.378071765,-1.526840582,0.126800658,0.649649235
Lancl1,82.55162629,-1.619455675,1.060674525,-1.526816791,0.126806575,0.649649235
Rsl1d1,48.02522627,-1.329048712,0.87079352,-1.526250117,0.126947586,0.649649235
Dtx4,141.5922187,1.036313124,0.679026353,1.526175118,0.126966258,0.649649235
Ndufaf1,59.91412407,-1.609114226,1.054344825,-1.526174538,0.126966403,0.649649235
Fam183b,2824.745108,0.868452528,0.569146983,1.525884445,0.127038645,0.649744145
Khnyn,7.866426995,1.733086716,1.136437657,1.525016973,0.127254864,NA
Fam32a,391.4942862,1.146729145,0.75194612,1.525015043,0.127255346,0.650143361
Ero1b,35.87185717,1.24993248,0.819673982,1.524914182,0.127280504,0.650143361
Tax1bp1,74.52949058,1.616277734,1.059927201,1.524895043,0.127285279,0.650143361
Slc38a9,423.3783345,-0.991542197,0.650372338,-1.524576214,0.127364834,0.650143361
Map3k7,13.82119695,1.888844448,1.239063429,1.524413039,0.127405565,NA
Gm28040,40.54488649,1.964854081,1.28900507,1.52431835,0.127429205,0.650143361
Dolk,257.5373304,-1.436718676,0.942556305,-1.524278887,0.127439059,0.650143361
Pacs2,41.82673676,-1.468377409,0.963506287,-1.523993593,0.127510312,0.650232736
Pja1,63.22765581,-1.707882963,1.120952998,-1.523599086,0.127608892,0.650313995
Anxa6,831.9106407,1.223005195,0.802868431,1.523294661,0.127685002,0.650313995
Hmgb2,65.9772332,1.062501683,0.697506916,1.5232848,0.127687468,0.650313995
Lrrc25,81.83667123,-1.069287635,0.702147149,-1.522882542,0.127788094,0.650552684
1110059E24Rik,107.1975125,-1.41018879,0.92648627,-1.522082772,0.127988342,0.650987329
Bcat2,843.7301363,0.995485019,0.654230082,1.521613032,0.12810607,0.650987329
Chd8,1099.138106891,-0.841940067,0.553330288,-1.521586808,0.128112645,0.650987329
Gm5491,16.13462544,-2.182900404,1.434749192,-1.521450869,0.128146732,0.650987329
Wnt7b,727.2176538,1.26125047,0.829179367,1.521082796,0.128239061,0.650987329
Gng13,12.914384,2.644478064,1.738651999,1.520993313,0.128261515,NA
Hspa12a,24.8832497,2.14137643,1.407942843,1.520925683,0.128278488,0.650987329
Hdac11,4214.610692,0.917586432,0.603311014,1.520917753,0.128280478,0.650987329
Alkbh3,45.70287281,2.510261866,1.650822285,1.520613024,0.128356977,0.650987329
Sox5,90.10031704,1.390266819,0.91432763,1.520534625,0.128376663,0.650987329
Col22a1,81.46733787,-1.289435277,0.84809163,-1.520396183,0.128411433,0.650987329
4930526A20Rik,124.8282633,0.852229333,0.560793986,1.519683438,0.128590556,0.65104484
Ccny,21.01572426,1.567319601,1.031375695,1.519639844,0.128601518,0.65104484
Cyb5r1,36.16758198,1.923505467,1.265920079,1.519452529,0.128648628,0.65104484
Sema3f,286.3625393,0.981590702,0.646035087,1.519407725,0.128659899,0.65104484
Cldn7,131.497079,1.862291316,1.225875097,1.51915258,0.128724094,0.65104484
Zfp111,178.1451118,-1.200844177,0.790640034,-1.518825414,0.128806447,0.65104484
Tmem101,62.45145344,1.761225328,1.159615184,1.51880154,0.128812458,0.65104484
Pik3r3,43.11390606,1.179466989,0.776660128,1.518639809,0.128853185,0.65104484
Cep78,4.91010195,2.802140477,1.845796786,1.518119707,0.128984224,NA
Runx2,200.2792609,-1.151772042,0.759064653,-1.517356971,0.129176582,0.651788504
Tgm4,55.5287237,2.556333795,1.684732945,1.517352529,0.129177702,0.651788504
Fmo5,37.15503947,1.016098653,0.669666452,1.517320527,0.129185778,0.651788504
Adam28,745.0005152,-0.91080623,0.600319886,-1.517201496,0.129215819,0.651788504
Gm12366,32.59593189,2.224278679,1.466611291,1.516610906,0.12936495,0.652088466
Chrm1,76.36653015,-1.733465626,1.143040416,-1.516539224,0.12938306,0.652088466
Tnfsf10,28.76385544,-1.076104502,0.709852315,-1.515955472,0.129530612,0.652453111
Nr1h3,64.14073531,1.422944753,0.938744812,1.515795066,0.12957118,0.652453111
Tll2,3.37909274,2.731185806,1.801962222,1.515673177,0.129602013,NA
Arrb1,563.5968977,0.700254985,0.462090456,1.515406724,0.129669436,0.652453111
Ahdc1,8.731029417,2.187535464,1.44354348,1.515392847,0.129672948,NA
Sdc3,11.08887479,-3.078891008,2.031793191,-1.515356495,0.129682149,NA
Cdk5r1,35.66434322,-1.34736836,0.889173792,-1.515303726,0.129695505,0.652453111
Tbc1d17,1605.108141,0.993161606,0.655512702,1.515091321,0.129749279,0.652453111
Amfr,34.28752226,1.257695659,0.830176237,1.514974294,0.129778914,0.652453111
Nid1,7.087356158,-2.232618798,1.473923094,-1.514745788,0.129836794,NA
Rps17,1115.499686,1.142443903,0.754449819,1.514274209,0.129956307,0.653073617
Map2k7,36.32617314,1.61532614,1.066934515,1.513988082,0.130028862,0.653166983
Cdo1,34.84824872,-1.918225625,1.267616199,-1.513254269,0.130215084,0.653831009
Dhfr,135.3896779,-1.16460321,0.769734521,-1.512993349,0.130281348,0.653892407
Ddah1,15.2586683,1.714918813,1.133905014,1.512400768,0.13043194,0.654167396
Zfp872,18.64106953,2.167129862,1.432953034,1.512352332,0.130444255,0.654167396
Tmem212,290.2573868,1.43149137,0.946684681,1.512109997,0.130505882,0.654205335
Ing5,37.84978194,0.982957302,0.650160477,1.511868741,0.130567258,0.654241974
Luzp1,78.39110994,1.875762898,1.240865995,1.511656299,0.130621321,0.654241974
Map1lc3b,415.786341,-0.65676618,0.434628432,-1.511098059,0.130763469,0.654682971
Tubb2a,5.339444352,3.525666846,2.333627765,1.510809436,0.13083701,NA
Osbpl3,108.6121796,1.203580033,0.796712228,1.510683521,0.130869103,0.654865674
Adgrg4,29.09409668,-1.790318407,1.185225183,-1.510530179,0.130908195,0.654865674
Ltbr,166.7050525,1.464876069,0.969964225,1.510237214,0.130982906,0.654968655
Svopl,94.37875906,-1.222665679,0.809899023,-1.509651998,0.131132246,0.655444571
Tmem179b,8.834327963,-2.167365071,1.435811095,-1.509505727,0.131169593,NA
Rps2-ps12,12.14770381,2.357657239,1.561990033,1.509393267,0.131198313,NA
Gm47516,3.073401832,2.967693402,1.967633937,1.508254837,0.131489317,NA
Gm14800,51.58957315,1.358776269,0.900975856,1.508116183,0.131524794,0.655602548
Gm10662,79.56155825,1.473071599,0.97683774,1.508000294,0.131554452,0.655602548
Gm5891,79.56155825,1.473071599,0.97683774,1.508000294,0.131554452,0.655602548
Lgals4,221.2404146,1.090905807,0.723414502,1.507995491,0.131555681,0.655602548
Zfp85,2.924879906,3.642216876,2.415473379,1.507868771,0.131588117,NA
Nmt1,205.7864155,0.788174185,0.522846172,1.507468597,0.131690587,0.655602548
Smndc1,21.25086634,-1.845935257,1.224696526,-1.507259323,0.1317442,0.655602548
P2rx3,62.99542631,2.352721349,1.560990658,1.507197585,0.131760019,0.655602548
Eif2b2,2611.695358,0.810547078,0.537888534,1.50690529,0.131834935,0.655602548
Sned1,27.59977154,1.895543303,1.258092211,1.506680739,0.131892511,0.655602548
Alpk2,99.65018622,-0.90136231,0.598251201,-1.506661931,0.131897334,0.655602548
Ttll13,86.24926267,1.353603021,0.898526632,1.506469561,0.131946675,0.655602548
Marveld2,4.039564396,-2.335777851,1.550644541,-1.506327072,0.131983232,NA
Ap3b1,16.22795578,1.827211182,1.213115801,1.506213324,0.13201242,0.655602548
Faim2,224.4668416,-0.991779846,0.658499418,-1.506121069,0.132036097,0.655602548
Map1s,181.4491248,1.140643889,0.757416153,1.505967208,0.132075592,0.655602548
Entpd3,38.77882975,2.219212479,1.473653663,1.505925399,0.132086326,0.655602548
Pgbd5,123.3615398,-1.708810696,1.134792159,-1.505835833,0.132109322,0.655602548
Ms4a20,26.30819464,-1.218238622,0.809071989,-1.505723396,0.132138195,0.655602548
Mndal,20.28931326,1.274762805,0.846613407,1.505720078,0.132139048,0.655602548
Rad51b,11.16268406,-2.405078309,1.597682343,-1.505354503,0.13223296,NA
Rplp0,3131.009125,1.385606269,0.920493799,1.505285827,0.132250607,0.655887131
Cttnbp2nl,7.504540941,2.521802338,1.675751208,1.504878723,0.132355259,NA
Zfp993,13.12679078,1.823940193,1.212033417,1.504859657,0.132360162,NA
Hddc2,2104.194411,1.09349095,0.726659029,1.504819876,0.132370392,0.656034468
Grk6,24.57605934,1.426610538,0.948098134,1.504707675,0.132399249,0.656034468
Gm2534,3.188383105,-3.371832462,2.24111896,-1.504530782,0.132444754,NA
Ice2,139.0639385,-1.081203399,0.719107113,-1.503535953,0.132700893,0.656034468
Vapa,53.93265495,-1.117397536,0.743219046,-1.503456541,0.132721356,0.656034468
Ptp4a3,15.97851686,-1.40659162,0.935603954,-1.503404954,0.13273465,0.656034468
Ffar1,11.58215874,-1.909425502,1.270331622,-1.50309216,0.13281528,NA
Gm5928,20.44734025,-2.76540166,1.839902878,-1.50301502,0.132835171,0.656034468
H1f2,38.43674422,1.470041969,0.978132972,1.502906057,0.132863271,0.656034468
Tmco1,86.76505838,0.98901284,0.658122012,1.502780368,0.13289569,0.656034468
Prpf4b,180.117013,1.059529263,0.705096236,1.502673265,0.13292332,0.656034468
Pclaf,151.3401572,-0.915392249,0.609377003,-1.502177214,0.133051348,0.656034468
Skp2,15.4593499,-2.703332854,1.799648441,-1.502144971,0.133059673,0.656034468
Wdyhv1,5.897029451,-2.24579332,1.495217356,-1.501984518,0.133101107,NA
Klf15,40.12851436,-2.016078411,1.342435131,-1.501806951,0.133146973,0.656034468
Jph2,23.55902655,-1.91287233,1.27384853,-1.501648183,0.133187993,0.656034468
Cyp2d22,23.07115477,1.29943365,0.865376509,1.50158184,0.133205136,0.656034468
Crb3,31.20381799,2.216709515,1.47630833,1.501522054,0.133220587,0.656034468
Gm48391,862.9215368,-0.938288199,0.624920862,-1.501451232,0.133238891,0.656034468
Asb13,21.66676911,1.366168109,0.909921625,1.501412947,0.133248787,0.656034468
Tbcel,197.2516786,1.049755055,0.699191374,1.501384447,0.133256154,0.656034468
Dcxr,6354.406075,0.920390954,0.613442383,1.500370662,0.133518415,0.656360772
Ccdc12,287.389859,1.191471273,0.794216195,1.500185063,0.133566471,0.656360772
Rapgef1,121.4552682,-1.148404109,0.765712194,-1.499785583,0.133669953,0.656360772
Eno2,63.8456309,1.424308343,0.949687446,1.499765369,0.133675191,0.656360772
Chchd4,138.6289413,1.478014706,0.985679733,1.499487771,0.133747139,0.656360772
Ovgp1,7252.2749,1.128080967,0.752374808,1.499360365,0.13378017,0.656360772
Anxa1,36.17149826,-2.447073301,1.632107114,-1.499333763,0.133787068,0.656360772
Zdhhc6,268.2945565,0.933501128,0.622638316,1.499267076,0.13380436,0.656360772
Sh3d19,30.85421145,1.808079607,1.206006739,1.499228443,0.133814379,0.656360772
Rpl14-ps1,511.3376554,1.138137667,0.759247448,1.499033905,0.133864836,0.656360772
Rps27a-ps2,57.59093046,-2.009264591,1.340587959,-1.498793554,0.133927197,0.656400574
Ppox,337.716497,1.136316346,0.758418127,1.498271608,0.134062698,0.656798665
Stx5a,704.8082237,1.057437575,0.706086774,1.497602864,0.134236462,0.657130894
Braf,395.964614,-1.185470863,0.791667462,-1.497435376,0.134280009,0.657130894
Atp13a4,6.558409341,-2.972101233,1.985236326,-1.497101979,0.134366725,NA
Prrc2b,40.40217912,1.257379817,0.839959282,1.496953298,0.13440541,0.657130894
Runx1,58.08994671,1.385636094,0.925659654,1.496917455,0.134414738,0.657130894
Abcf1,1657.226594,0.848182756,0.566716199,1.496662276,0.134481157,0.657130894
Zfp689,30.97353708,1.209026315,0.807845364,1.496606119,0.134495777,0.657130894
Opn1sw,41.77789625,1.708332244,1.141514374,1.496549044,0.134510637,0.657130894
Ptn,44.51560913,-1.68337228,1.125182454,-1.496088277,0.134630652,0.657376841
Cops5,99.92455544,-1.134208524,0.758292233,-1.495740659,0.13472125,0.657376841
Rnf207,27.03940992,-1.214475111,0.8119613,-1.495730289,0.134723954,0.657376841
Cacnb1,11.19797564,1.908439003,1.276242046,1.495358196,0.134820985,NA
Fgf4,57.40802866,-2.525838987,1.689126927,-1.495351798,0.134822653,0.657420224
Prrt3,84.66962626,-1.674065106,1.119566644,-1.495279548,0.1348415,0.657420224
Klk6,49.59650988,-2.770053094,1.853138707,-1.494789938,0.134969273,0.657778161
Aopep,476.161724,1.351801372,0.904545468,1.494453756,0.13505706,0.657941017
Pfdn5,3528.542334,0.986657582,0.660409262,1.494009305,0.135173187,0.658071288
Fmnl3,90.39650897,1.640113568,1.097973072,1.493764839,0.135237095,0.658071288
Dicer1,246.1815089,-0.82032271,0.549236492,-1.493569203,0.135288254,0.658071288
Cr2,100.3915505,1.475880776,0.988296823,1.493357806,0.135343552,0.658071288
Nrg3,10.29818764,2.568771023,1.720248908,1.49325543,0.135370337,NA
Irf5,8.159070557,2.514643379,1.684047832,1.493213751,0.135381244,NA
Alkbh7,99.89799919,0.760478089,0.509331311,1.493091181,0.135413321,0.658071288
ccdc198,15.44540215,2.21207685,1.481678371,1.49295346,0.13544937,0.658071288
Gm15058,35.58189965,-2.152963369,1.442160053,-1.492874085,0.13547015,0.658071288
Tagap1,88.21961029,2.18946677,1.466794565,1.492688085,0.135518854,0.658071288
As3mt,14.88257072,1.611411119,1.079646161,1.49253633,0.1355586,NA
Zkscan4,9.145613856,2.677855808,1.794490488,1.492265256,0.135629621,NA
Gm18360,13.65762058,-3.363809614,2.254179605,-1.49225448,0.135632445,NA
Cachd1,14.58160783,1.612283083,1.08088345,1.491634535,0.13579498,NA
Acat2,78.16979803,1.685046567,1.129665456,1.491633259,0.135795314,0.658874335
Glrb,317.1649988,-0.949920369,0.636923109,-1.491420794,0.135851052,0.658874335
Gm5590,8.051922252,-1.828753646,1.226336105,-1.491233634,0.135900166,NA
Mon1a,73.35408115,1.342796126,0.900643733,1.490929295,0.135980059,0.658874335
Chsy1,24.27599774,1.507121579,1.010912012,1.49085337,0.135999996,0.658874335
Akr7a5,759.652359,1.02132649,0.685129809,1.490705085,0.13603894,0.658874335
Dclre1a,62.41967429,1.412135633,0.94739275,1.490549334,0.136079855,0.658874335
Gm9077,60.3957098,-1.989408748,1.334746637,-1.490476689,0.136098941,0.658874335
Nudc,798.6800605,1.137804221,0.763431165,1.490382203,0.136123769,0.658874335
Ptpn18,598.446302,0.717638955,0.481584565,1.490161868,0.13618168,0.658874335
Flywch1,638.2726994,1.158996967,0.777885481,1.489932638,0.136241949,0.658874335
Bard1,12.45095889,-1.954792901,1.312070803,-1.489853213,0.136262836,NA
Fkbp5,172.3759793,-0.989005541,0.663861929,-1.489775956,0.136283155,0.658874335
Dio2,5.976479138,-3.522696082,2.364798886,-1.489638761,0.136319245,NA
Gprasp1,63.55263403,2.498109574,1.677256545,1.489402191,0.136381492,0.658896244
Gm11826,27.71281151,1.623983326,1.090567469,1.489117705,0.136456376,0.658896244
Ddo,107.9570905,-0.877636489,0.589373758,-1.489100043,0.136461026,0.658896244
Vmn1r63,19.32052197,-2.066839983,1.388136656,-1.488931204,0.136505486,0.658896244
Tk1,112.4849323,-0.797034216,0.535495762,-1.488404339,0.136644293,0.65924979
Alx1,7.402461891,-2.41772113,1.62451897,-1.488268942,0.136679982,NA
Mast3,215.4939271,1.768916938,1.188909288,1.487848531,0.136790844,0.65924979
Nhej1,21.83904869,1.845359618,1.240322023,1.487806863,0.136801835,0.65924979
Ankrd46,28.67229182,1.609139825,1.081757908,1.487523051,0.13687672,0.65924979
Stk39,26.15367909,1.510877873,1.015728924,1.487481391,0.136887714,0.65924979
Srek1,279.1628078,0.683674013,0.459749104,1.487058935,0.136999246,0.65924979
Tcp11l1,16.25646758,-1.521875228,1.023456567,-1.48699542,0.13701602,0.65924979
Gss,209.5957952,1.098313127,0.738617993,1.486983984,0.137019041,0.65924979
Fkrp,100.935469,1.463183396,0.98422134,1.486640593,0.137109761,0.65924979
H2az1,261.06851,1.180995123,0.794510874,1.486442994,0.137161985,0.65924979
Noto,18.52156902,1.733327269,1.166273125,1.486210418,0.137223473,0.65924979
Npas2,9.209949035,-2.582691195,1.737835607,-1.486153917,0.137238414,NA
Slfn3,681.9865774,-0.973266242,0.654909805,-1.4861073,0.137250742,0.65924979
Sfxn2,203.8128327,-0.812350879,0.546799418,-1.485646934,0.137372534,0.65924979
Muc1,465.5112075,1.632620684,1.09892929,1.48564671,0.137372593,0.65924979
Pgrmc2,149.2328419,-1.958743366,1.318523133,-1.48555859,0.137395915,0.65924979
Lca5,81.43194017,-1.230222393,0.828252394,-1.485323075,0.137458262,0.659287527
Dhx36,32.85960882,1.515138283,1.020226005,1.485100629,0.137517169,0.659308743
Olfr1270,12.96888018,-1.797504354,1.210681049,-1.484705121,0.137621955,NA
Spp1,4.34039991,-3.172874144,2.137523088,-1.484369531,0.137710913,NA
Lrrc46,196.4193532,1.262920169,0.850938232,1.484150225,0.137769071,0.660254865
Camk2n2,19.76422889,2.363268393,1.593343356,1.483213511,0.138017693,0.661141222
Olfm1,56.44835132,1.281419016,0.864047773,1.483041859,0.13806329,0.661141222
Zfp319,29.12377335,-1.903868342,1.284154217,-1.482585438,0.138184589,0.661460327
Nccrp1,1.757621063,3.541219752,2.388548043,1.482582594,0.138185345,NA
Iqsec3,3.174409651,-2.589314485,1.747170376,-1.482004572,0.138339078,NA
Rab11fip2,513.9425846,0.996079562,0.672134848,1.481963873,0.138349908,0.661989813
Rpgr,4.900520723,-1.991320382,1.343785113,-1.48187412,0.138373792,NA
Pxdc1,20.34954552,2.204617779,1.488043388,1.481554769,0.138458802,0.662248996
Cep162,171.9441483,0.759000561,0.512579967,1.480745659,0.138674362,0.663017959
S100b,1343.141104,0.736851967,0.497760761,1.480333576,0.138784247,0.663271667
Acsm2,4.419230628,-2.057144877,1.390166227,-1.479783379,0.138931066,NA
Serpinb6a,1438.617091,1.083393706,0.732149559,1.479743712,0.138941655,0.663271667
Apex1,68.43914256,1.796138067,1.213955327,1.479575095,0.138986677,0.663271667
Arl13b,120.0210247,1.59959969,1.081402534,1.479189885,0.139089572,0.663271667
Irf8,49.7404817,0.974225339,0.658648245,1.47912842,0.139105996,0.663271667
Gm4767,4.00608416,2.452075744,1.657818159,1.479098133,0.139114089,NA
Zswim4,26.06182389,-1.742159064,1.177920141,-1.479012884,0.139136871,0.663271667
Gm7392,35.41386062,-2.562929778,1.732983144,-1.478912121,0.139163803,0.663271667
Gm47605,71.17425218,-1.405165131,0.950139379,-1.478904213,0.139165917,0.663271667
Rnase6,47.80846899,1.976345303,1.33675203,1.478468152,0.139282515,0.663317154
Prpf31,35.39125227,1.603931075,1.085270187,1.477909459,0.139432014,0.663317154
Gm49193,4.734905453,-2.998206506,2.028846289,-1.47778889,0.139464293,NA
Ttc32,8.051746821,-2.576394917,1.743773559,-1.477482499,0.139546346,NA
Ccdc115,16.27902894,2.23592189,1.513374714,1.477441026,0.139557456,0.663317154
Use1,2923.28521,1.068489086,0.723220718,1.477403868,0.13956741,0.663317154
Rpl3-ps1,112.1332868,2.266828829,1.534358405,1.477378963,0.139574082,0.663317154
Adpgk,24.28021145,2.005541896,1.357565149,1.47730803,0.139593086,0.663317154
Ppa1,62.53364755,-1.116061312,0.755551185,-1.477148516,0.139635831,0.663317154
Spata25,100.5718677,1.691087694,1.14487965,1.477087739,0.13965212,0.663317154
Gm13226,11.72028689,-1.804044958,1.22138051,-1.477053992,0.139661165,NA
Tomm40,122.605496,1.060024601,0.717675211,1.47702552,0.139668797,0.663317154
Sec11a,105.357867,1.040797321,0.704814824,1.476696127,0.139757111,0.663476186
Gria4,29.44618964,-2.143085145,1.451591177,-1.476369641,0.139844688,0.663631596
Efemp1,5.416323202,-2.762277916,1.871837585,-1.475703843,0.140023414,NA
Tpm1,492.1674307,0.808621868,0.547984296,1.475629638,0.140043344,0.664313802
Gm44487,9.222361901,-1.983380157,1.344181196,-1.475530355,0.140070014,NA
Cyp2c53-ps,10.72171483,-2.679237527,1.81597718,-1.475369601,0.140113203,NA
Rbm48,5.700467929,-2.618180788,1.775380646,-1.47471518,0.140289133,NA
Olfr370,2.886530092,3.135712863,2.126764322,1.474405429,0.140372463,NA
Gm8860,28.04802272,2.282633584,1.548200655,1.474378386,0.140379741,0.665648605
Ptpn5,82.82020681,1.653648623,1.12222543,1.473544066,0.140604391,0.665889555
Fut2,82.10703677,1.486312756,1.008770058,1.47339103,0.140645627,0.665889555
Nova2,8.938819956,-1.957407555,1.328620812,-1.473262753,0.1406802,NA
Chrac1,236.4356653,1.267123898,0.860202266,1.473053429,0.14073663,0.665889555
Rabif,7.11696636,3.324929928,2.257357693,1.472930027,0.140769905,NA
Gm47844,37.70720105,-2.060761637,1.399501194,-1.472497234,0.140886654,0.665889555
4930568D16Rik,6.0437599,-2.538408952,1.723909112,-1.472472612,0.140893298,NA
Cx3cr1,64.80972572,-1.104962167,0.750441949,-1.472415246,0.140908779,0.665889555
Zbed5,18.25959434,-1.565338567,1.063172588,-1.472327809,0.140932377,0.665889555
Bcap31,38.23641383,1.770934309,1.202979716,1.472123166,0.140987621,0.665889555
Pimreg,81.21114118,-4.484032132,3.046032066,-1.472089602,0.140996683,0.665889555
Gm15604,9.374344271,-3.164370786,2.150044436,-1.471769947,0.141083012,NA
Tgfb3,45.31000258,1.940018933,1.318253098,1.471658921,0.141113006,0.665889555
Ak7,39.40360652,1.796688872,1.220866068,1.471651084,0.141115123,0.665889555
Lin7a,77.4884961,-1.924091735,1.307491003,-1.471590802,0.141131411,0.665889555
Nicn1,46.84995017,1.324263782,0.899898616,1.471569972,0.141137039,0.665889555
Parp8,17.59044904,-1.971905471,1.340165961,-1.471389013,0.141185943,0.665889555
Specc1,59.85291829,-0.961173758,0.653313836,-1.47122823,0.141229405,0.665889555
Csnk2a1-ps3,383.0354124,-1.124044737,0.764122267,-1.471027328,0.141283727,0.665889555
Hoxc4,11.1323646,2.409818528,1.638293332,1.470932269,0.141309435,NA
Clcc1,97.16003676,-0.761101158,0.517429771,-1.470926493,0.141310997,0.665889555
Slu7,52.05820974,2.113075256,1.436792481,1.47068925,0.141375175,0.665932655
Dhx57,14.81933313,-2.028578017,1.379399983,-1.47062349,0.141392968,NA
Wars,470.4554515,1.372844649,0.933696685,1.470332572,0.141471704,0.66600603
Smim22,2582.237278,0.8491416,0.577558946,1.470224997,0.141500827,0.66600603
Mrto4-ps1,14.49307501,-2.410951206,1.639963844,-1.470124609,0.141528008,NA
Pde8b,16.48507796,-1.710715735,1.163875035,-1.469844857,0.141603777,0.666078167
Psenen,379.8797372,0.957287886,0.651404466,1.469575258,0.141676825,0.666078167
Reep6,16.3018924,1.931695616,1.314492367,1.46953734,0.141687102,0.666078167
Rcsd1,64.3459988,0.879006601,0.59822586,1.469355739,0.141736326,0.666078167
Ap1s1,221.0042743,1.246968013,0.849248909,1.468318651,0.142017687,0.667141316
