genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pax2,10.84206995,3.10340506,1.218065749,2.547814075,0.010840023,NA
Gdi1,33.00946593,3.067997469,1.204396649,2.547331455,0.010855028,0.269173541
Gm15454,30.71935676,-3.613297264,1.418985119,-2.54639546,0.010884181,0.26934452
Grap2,148.0686975,-2.681179363,1.053281843,-2.545547879,0.01091064,0.269448275
Sirpa,101.1233298,2.349549256,0.923559078,2.5440162,0.0109586,0.27008151
Ddn,11.92723312,-3.637970648,1.430020012,-2.543999817,0.010959114,NA
Bhlha15,14.39444542,3.293867855,1.296570948,2.54044552,0.011071134,NA
Ccdc149,86.34672613,4.05419347,1.59625679,2.539812827,0.011091181,0.272437398
Cdk2ap2,121.4936168,2.508884548,0.987921172,2.53955945,0.011099218,0.272437398
Pknox2,19.19923474,2.981013761,1.176370848,2.534076534,0.01127441,0.274716461
Tmem208,155.8165594,3.814881262,1.505554738,2.533870848,0.01128103,0.274716461
Laptm5,167.6296826,2.035718101,0.803427868,2.533790752,0.011283609,0.274716461
Mtmr4,109.445665,3.093390965,1.221045905,2.533394487,0.011296374,0.274716461
Optn,22.79991304,6.123797089,2.417996051,2.532591848,0.01132227,0.274716461
Dusp1,35.34270562,-5.164370741,2.039452815,-2.5322335,0.011333849,0.274716461
Odr4,62.45569499,1.947238701,0.769141582,2.531703845,0.011350982,0.274716461
Sox9,110.8473136,-1.546186045,0.611167826,-2.52988783,0.0114099,0.275113799
Slc35e3,296.8748331,-1.548140301,0.612161184,-2.52897495,0.011439619,0.275113799
Mapk14,675.2443841,1.374662987,0.543849846,2.527651696,0.011482821,0.275113799
Pkm,1576.411982,2.212703337,0.875502085,2.527353589,0.011492573,0.275113799
Fnbp4,24.14928618,-2.075917497,0.82170213,-2.526362559,0.011525047,0.275113799
Stc1,151.317328,1.760639807,0.696912779,2.526341689,0.011525732,0.275113799
Hras,437.4303485,1.758155642,0.695936281,2.526316978,0.011526543,0.275113799
Tspyl2,201.9461293,2.293363484,0.908403807,2.524607962,0.011582742,0.275598267
Urah,239.4275921,2.210979072,0.875905541,2.524220898,0.011595504,0.275598267
Nucb2,57.67662172,2.673137861,1.059245144,2.523625316,0.011615165,0.275598267
Amd1,49.94185925,2.584693093,1.024942116,2.521794211,0.011675799,0.276494805
Htr4,7.789675447,4.593953893,1.821761511,2.52170982,0.0116786,NA
Gm27178,12.77504976,-4.20682989,1.668304961,-2.521619241,0.011681608,NA
Zfp942,48.58656973,-2.403866626,0.954223983,-2.519184874,0.011762688,0.276916007
Foxo4,37.39020145,4.387819001,1.742058653,2.518755034,0.011777056,0.276916007
Gbf1,110.1708405,1.539355032,0.611183135,2.518647756,0.011780644,0.276916007
Myh11,9.096736334,-3.546843922,1.408674572,-2.517858981,0.011807058,NA
Slc6a8,69.45388905,3.005872675,1.193920532,2.517648867,0.011814103,0.276916007
Coprs,103.1849984,-1.935771092,0.768917287,-2.517528381,0.011818145,0.276916007
Pttg1,49.73752369,-1.882356292,0.747812904,-2.517148718,0.011830888,0.276916007
Hnrnpf,25.37316845,2.570714454,1.021877903,2.515676722,0.01188041,0.27703682
Olfr1507,19.83394623,3.025971466,1.202866157,2.515634385,0.011881837,0.27703682
Eipr1,56.99844936,2.617558679,1.04112,2.514175771,0.011931095,0.277178609
Speer4b,23.98219496,2.336517877,0.929366294,2.514097931,0.011933729,0.277178609
Slc26a2,111.4823511,1.635537747,0.651055782,2.512131514,0.012000436,0.278194009
Gm10774,30.62858368,2.417231958,0.96281189,2.510596289,0.012052745,0.278872397
Vill,62.05689672,2.483792826,0.98970388,2.509632302,0.012085693,0.27890434
Ubac2,26.99089922,3.672919534,1.464336988,2.508247462,0.012133166,0.27890434
