"";"FT1";"FT2";"FT3";"FT4";"X13604T";"X2611T";"X14576T";"X2942T";"X14109T";"X14104T";"X13179T";"X14397T";"X14474T";"X13085T";"X13576T";"X2163T";"X18996.L";"X18996.S";"X18999.L";"X18999.S";"X19151.L";"X19151.S";"X19152.L";"X19152.S";"X19153.L";"X19153.S";"X19313.L";"X19313.S";"centroid_SC";"centroid_LC";"centroid_FT";"centroid_TS"
"FT1";0;0,666134502140753;0,453017096612135;0,364367498250412;20,8161516458664;17,8454533066349;17,1063316405138;21,2491643183252;18,6848422416337;18,2730329378912;18,1255438658822;21,4451907593854;18,2646656082227;18,1077216400117;18,2946680785888;15,205437307403;16,6562459684385;7,61887696447555;16,3973429982065;6,25109012904671;13,8876397086541;13,4687937958205;18,8501918404009;3,00760277426485;5,97630161192594;1,8168384346861;20,9437887135199;12,9934840359619;7,42846203292984;15,378831408388;0,326382401747599;17,5680183171091
"FT2";0,666134502140753;0;0,632899830133231;0,323120833119168;21,4782048208768;18,4779667365332;17,7691040393963;21,9140564021501;19,0351668760975;18,9222029828801;18,742476648015;21,9732645936205;18,715970211013;18,6297973406505;18,7478054544163;15,7309117536064;17,3183890356976;8,27843660736176;17,0436315669774;6,91229278075616;14,5523534597277;14,1337973455117;19,4885230476394;3,6002247225891;6,64211457713761;2,47060358695626;21,5951951227187;13,6595917305635;8,09433693938594;16,0345888942996;0,385059408681398;18,1621335574597
"FT3";0,453017096612135;0,632899830133231;0;0,368501279689211;21,051373526388;18,1569617597513;17,338448568205;21,4138476156701;19,1349621640981;18,5522561520193;18,4586842192637;21,8476635613398;18,6970227707525;18,5137233276112;18,7265113478899;15,6104010538312;16,8920404624899;7,75525435981346;16,6837491938504;6,50019364999899;14,1069159979746;13,6854198688779;19,1516377440643;2,99720794888936;6,16336845065074;1,95730561771873;21,2167749817181;13,1901300135406;7,61428810634615;15,6408124614208;0,310627762794076;17,9256357244105
"FT4";0,364367498250412;0,323120833119168;0,368501279689211;0;21,1778353391316;18,2083800220973;17,4675687248608;21,5978378108188;18,9412508639076;18,6373963347506;18,4854270114314;21,776933297356;18,5655639541622;18,4370447416456;18,5963399969263;15,5358423502975;17,0179053420503;7,95818891956553;16,7616726421626;6,61349043796917;14,2469992884003;13,8277226091985;19,2139174664907;3,28188556864081;6,32841874363518;2,14935872024286;21,3080769678588;13,3488504648663;7,78077254873614;15,7426703739814;0,0658454437397514;17,9219131188687
"X13604T";20,8161516458664;21,4782048208768;21,051373526388;21,1778353391316;0;5,0512435875713;3,71467356818583;3,69172453363372;17,6330406520963;3,42517207729495;6,07132422747605;11,5406410177265;14,1029938194897;11,2294984651845;14,0403166489011;11,3617067290778;4,15993355491362;13,5925548008897;5,09209660457041;14,5661432170379;6,97181953936259;7,40035550152242;4,1096311401506;18,4812426085883;14,9278835708586;19,1116028410094;2,12153333377093;8,00489151026659;13,5028798186327;5,57173001908918;21,1301376428329;7,66872326554064
"X2611T";17,8454533066349;18,4779667365332;18,1569617597513;18,2083800220973;5,0512435875713;0;3,94798131751848;8,22470383671548;12,6747000308865;1,76128812981503;1,26763698811301;7,5354563318794;9,20313531132704;6,38183466170441;9,14548852463256;6,31959578423453;3,8563668425393;11,5866997072806;1,93773986347979;11,7786213002094;5,66301581790927;5,99641136398346;1,14486432308141;16,0141465166025;12,4246681460049;16,3245680562275;3,76715943800634;6,81590666480362;11,1783178417091;3,43422340269766;18,171132328229;2,71939276069312
"X14576T";17,1063316405138;17,7691040393963;17,338448568205;17,4675687248608;3,71467356818583;3,94798131751848;0;5,19375885905973;16,1060486109498;2,54112620720493;5,20980739540737;11,4828198468743;12,7922804625313;10,0988384757652;12,7427373322576;9,30806987520828;0,476353965446328;9,90226782056063;2,56208616608971;10,8584742030316;3,2650643575721;3,69494262945747;3,86692543378899;14,772459474285;11,2135451721517;15,3974351714202;4,37922866912613;4,34129822931919;9,79073265159899;2,14160396626834;17,4194558972022;6,48535028171414
"X2942T";21,2491643183252;21,9140564021501;21,4138476156701;21,5978378108188;3,69172453363372;8,22470383671548;5,19375885905973;0;20,8883100785026;6,46424117107712;9,39952377082066;15,1798635764167;17,4275586591772;14,5929708972891;17,3695848918863;14,294640027974;5,63469635940294;13,6726821837288;7,5565958096219;15,1567884847878;7,68692638726318;8,0480072948007;7,50065529303767;18,6029614592317;15,2764255651471;19,458786680441;5,81222112084203;8,34006271761576;13,8268781843161;7,32056820243577;21,5430771860911;10,9418981073152
"X14109T";18,6848422416337;19,0351668760975;19,1349621640981;18,9412508639076;17,6330406520963;12,6747000308865;16,1060486109498;20,8883100785026;0;14,4291826855121;11,5649641600627;7,81301956684732;3,57242704696023;6,44242704601685;3,64171216087934;6,92169873971764;15,8010912222589;17,2736649445918;13,5448351976693;15,6118714585944;15,7027550782021;15,7162849919382;13,5244213662331;18,877369700912;16,6315214216695;18,2072836211813;15,8980818682434;16,2797903104544;16,3981032756794;14,388494573823;18,9474473706665;9,97739684960474
"X14104T";18,2730329378912;18,9222029828801;18,5522561520193;18,6373963347506;3,42517207729495;1,76128812981503;2,54112620720493;6,46424117107712;14,4291826855121;0;2,97422610632781;9,10767061584834;10,9642394423302;8,14065819052523;10,9066969052955;7,97058917542527;2,62392704356587;11,5346469580822;1,90540820282122;12,0713697547345;5,09782973981544;5,49721824579759;1,33257262980613;16,2090346673781;12,5983509507958;16,6607964878076;2,68959686728154;6,27893222343854;11,2554331766347;3,01175971375254;18,5952724334266;4,48048296263468
