model,size,divisions
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#14548,1.00,0.00
#15655,142.00,141.00
#15655,137.00,136.00
#15655,131.00,130.00
#15655,59.00,58.00
#15655,51.00,50.00
#15655,28.00,27.00
#15655,25.00,24.00
#15655,25.00,24.00
#15655,25.00,24.00
#15655,21.00,20.00
#15655,20.00,19.00
#15655,16.00,15.00
#15655,15.00,14.00
#15655,10.00,9.00
#15655,10.00,9.00
#15655,10.00,9.00
#15655,10.00,9.00
#15655,9.00,8.00
#15655,8.00,7.00
#15655,7.00,6.00
#15655,7.00,6.00
#15655,6.00,5.00
#15655,6.00,5.00
#15655,5.00,4.00
#15655,5.00,4.00
#15655,5.00,4.00
#15655,4.00,3.00
#15655,4.00,3.00
#15655,4.00,3.00
#15655,3.00,2.00
#15655,3.00,2.00
#15655,3.00,2.00
#15655,3.00,2.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,2.00,1.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15655,1.00,0.00
#15656,144.00,143.00
#15656,125.00,124.00
#15656,89.00,88.00
#15656,77.00,76.00
#15656,65.00,64.00
#15656,25.00,24.00
#15656,19.00,18.00
#15656,12.00,11.00
#15656,6.00,5.00
#15656,5.00,4.00
#15656,5.00,4.00
#15656,5.00,4.00
#15656,4.00,3.00
#15656,4.00,3.00
#15656,4.00,3.00
#15656,4.00,3.00
#15656,4.00,3.00
#15656,4.00,3.00
#15656,3.00,2.00
#15656,3.00,2.00
#15656,3.00,2.00
#15656,3.00,2.00
#15656,3.00,2.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,2.00,1.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
#15656,1.00,0.00
