model,size,divisions
#13383,1.00,0.00
#13383,5.00,4.00
#13383,1.00,0.00
#13383,76.00,75.00
#13383,305.00,304.00
#13383,107.00,106.00
#13383,68.00,67.00
#13383,276.00,275.00
#13383,146.00,145.00
#13383,162.00,161.00
#13383,56.00,55.00
#13383,102.00,101.00
#13383,75.00,74.00
#13383,3.00,2.00
#13383,1.00,0.00
#13383,120.00,119.00
#13383,5.00,4.00
#13383,3.00,2.00
#13383,2.00,1.00
#13383,4.00,3.00
#13383,2.00,1.00
#13383,8.00,7.00
#13383,8.00,7.00
#13383,10.00,9.00
#13383,3.00,2.00
#13383,4.00,3.00
#13383,1.00,0.00
#13383,2.00,1.00
#13383,1.00,0.00
#13383,2.00,1.00
#13383,2.00,1.00
#13383,1.00,0.00
#13383,1.00,0.00
#13383,2.00,1.00
#13383,1.00,0.00
#13383,1.00,0.00
#13383,1.00,0.00
#13383,1.00,0.00
#13383,5.00,4.00
#13383,2.00,1.00
#13383,6.00,5.00
#13383,3.00,2.00
#13383,2.00,1.00
#13383,1.00,0.00
#13383,1.00,0.00
#13383,1.00,0.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,278.00,277.00
#13384,67.00,66.00
#13384,2.00,1.00
#13384,1.00,0.00
#13384,8.00,7.00
#13384,11.00,10.00
#13384,15.00,14.00
#13384,20.00,19.00
#13384,153.00,152.00
#13384,496.00,495.00
#13384,806.00,805.00
#13384,260.00,259.00
#13384,50.00,49.00
#13384,1.00,0.00
#13384,2.00,1.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,2.00,1.00
#13384,4.00,3.00
#13384,3.00,2.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,2.00,1.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,2.00,1.00
#13384,5.00,4.00
#13384,1.00,0.00
#13384,2.00,1.00
#13384,5.00,4.00
#13384,8.00,7.00
#13384,10.00,9.00
#13384,1.00,0.00
#13384,2.00,1.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,1.00,0.00
#13384,3.00,2.00
#13384,1.00,0.00
#14955,25.00,24.00
#14955,15.00,14.00
#14955,18.00,17.00
#14955,125.00,124.00
#14955,63.00,62.00
#14955,55.00,54.00
#14955,20.00,19.00
#14955,45.00,44.00
#14955,5.00,4.00
#14955,1.00,0.00
#14955,4.00,3.00
#14955,3.00,2.00
#14955,4.00,3.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,2.00,1.00
#14955,2.00,1.00
#14955,1.00,0.00
#14955,2.00,1.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,73.00,72.00
#14955,4.00,3.00
#14955,1.00,0.00
#14955,2.00,1.00
#14955,2.00,1.00
#14955,1.00,0.00
#14955,25.00,24.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,3.00,2.00
#14955,71.00,70.00
#14955,17.00,16.00
#14955,1.00,0.00
#14955,3.00,2.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,13.00,12.00
#14955,170.00,169.00
#14955,1.00,0.00
#14955,5.00,4.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,1.00,0.00
#14955,3.00,2.00
#14955,3.00,2.00
#14955,1.00,0.00
#14955,2.00,1.00
#14955,3.00,2.00
#14955,22.00,21.00
#14955,34.00,33.00
#14955,6.00,5.00
#14955,2.00,1.00
#14955,4.00,3.00
#14955,35.00,34.00
#14955,45.00,44.00
#14965,125.00,124.00
#14965,76.00,75.00
#14965,68.00,67.00
#14965,66.00,65.00
#14965,59.00,58.00
#14965,40.00,39.00
#14965,52.00,51.00
#14965,48.00,47.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,2.00,1.00
#14965,3.00,2.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,3.00,2.00
#14965,5.00,4.00
#14965,10.00,9.00
#14965,9.00,8.00
#14965,1.00,0.00
#14965,10.00,9.00
#14965,1.00,0.00
#14965,6.00,5.00
#14965,328.00,327.00
#14965,86.00,85.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,23.00,22.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,245.00,244.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,4.00,3.00
#14965,3.00,2.00
#14965,2.00,1.00
#14965,1.00,0.00
#14965,17.00,16.00
#14965,5.00,4.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,21.00,20.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,1.00,0.00
#14965,7.00,6.00
#14965,6.00,5.00
#14965,7.00,6.00
#14965,68.00,67.00
#14965,1.00,0.00
#14965,20.00,19.00
#14965,5.00,4.00
#14965,1.00,0.00
#14965,96.00,95.00
#14965,6.00,5.00
#14965,3.00,2.00
